Time (ms),X,Y,Z
86,-2863,-3297,-6937
166,-2795,-3322,-6923
246,-2695,-3283,-7088
326,-2623,-3273,-7241
406,-2529,-3243,-7236
486,-2494,-3212,-7217
566,-2487,-3266,-7268
646,-2483,-3231,-7291
726,-2447,-3138,-7217
806,-2422,-3137,-7190
886,-2410,-3214,-7178
966,-2490,-3198,-7172
1046,-2519,-3302,-7187
1126,-2515,-3290,-7236
1206,-2505,-3217,-7217
1286,-2423,-3208,-7208
1366,-2402,-3170,-7289
1446,-2350,-3109,-7182
1526,-2317,-3107,-6986
1606,-2310,-3166,-7066
1686,-2324,-3167,-7163
1766,-2381,-3177,-7157
1846,-2417,-3172,-7197
1926,-2442,-3213,-7198
2006,-2522,-3224,-7165
2086,-2644,-3254,-7115
2165,-2667,-3175,-7186
2245,-2559,-3112,-7193
2325,-2474,-3159,-7154
2405,-2417,-3155,-7196
2485,-2408,-3068,-7112
2565,-2429,-2960,-7014
2725,-2456,-2969,-7122
2806,-2520,-2964,-7240
2885,-2533,-2971,-7244
2965,-2582,-2880,-7314
3045,-2604,-2846,-7279
3125,-2572,-2839,-7313
3205,-2625,-2784,-7432
3285,-2650,-2810,-7359
3365,-2653,-2797,-7342
3445,-2697,-2782,-7335
3525,-2700,-2809,-7203
3605,-2728,-2788,-7193
3685,-2672,-2709,-7265
3765,-2672,-2664,-7196
3845,-2757,-2703,-7206
3925,-2788,-2695,-7340
4005,-2735,-2700,-7180
4085,-2735,-2677,-7002
4165,-2872,-2675,-7116
4245,-2850,-2690,-7161
4325,-2960,-2689,-7122
4405,-3276,-2809,-6975
4485,-4491,-3351,-7078
4565,-5518,-3544,-7809
4645,-4716,-2541,-8278
4725,-2310,-1228,-7737
4805,425,-548,-6921
4885,2085,803,-6335
4965,2971,2910,-5874
5045,3435,4354,-5139
5125,3455,5284,-4010
5205,3003,5982,-2929
5285,2348,6811,-1938
5365,1659,8257,-1664
5445,1150,8914,-1800
5525,972,8409,-1685
5605,1820,7106,-3108
5685,1976,6123,-4182
5765,1298,6638,-3257
5845,1092,7698,-2577
5925,484,8525,-2739
6005,-363,8185,-3523
6085,-66,6669,-3649
6165,1549,6090,-3299
6245,3105,6793,-3109
6325,4616,6771,-2748
6405,5244,6436,-2152
6485,5597,6178,-1755
6565,5983,6553,-1604
6645,5975,7590,-1363
6725,5639,7074,-1524
6805,5209,6048,-1769
6885,5264,6202,-1210
6965,5384,5906,-43
7045,5491,5324,1022
7125,5900,5727,1476
7205,6193,6206,996
7365,5595,6002,4
7445,5137,5616,-1859
7525,4923,4813,-3984
7605,4482,3517,-5205
7685,4250,2784,-5791
7765,3878,2997,-6099
7845,3704,3285,-6336
7925,4307,3649,-6174
8004,4878,4246,-5227
8084,5349,4661,-3812
8164,5577,5085,-1854
8244,5846,5189,49
8324,6133,5016,1346
8404,6046,4371,2618
8485,6064,4045,3245
8565,5979,4021,3554
8644,6503,4317,3289
8724,6875,5480,1961
8804,6375,5322,548
8884,5885,3617,-1247
8964,5281,1798,-3066
9044,3445,79,-4811
9124,1086,-1748,-6282
9204,-201,-3326,-6584
9284,-973,-4369,-6306
9364,-1581,-4958,-6075
9444,-2018,-5224,-6009
9524,-2546,-5536,-6090
9604,-2613,-5596,-5999
9684,-2081,-5445,-5982
9764,-1995,-5306,-6402
9844,-2390,-4422,-6631
9924,-2728,-3744,-7165
10004,-2912,-2856,-7534
10084,-3253,-2365,-7312
10164,-3370,-2692,-7457
10244,-3270,-2451,-7166
10324,-3309,-2834,-6620
10404,-3182,-4422,-6417
10484,-3533,-5896,-6664
10564,-4004,-5926,-7411
10644,-3173,-3362,-6931
10724,-745,353,-5025
10804,1472,2590,-3684
10884,2975,4188,-2939
10964,4316,5181,-2361
11044,5079,5498,-1886
11124,5109,5757,-1059
11204,5064,5494,-391
11284,5496,5508,-405
11364,5885,5984,-658
11444,6049,5847,-512
11524,5699,5407,-290
11604,5134,5245,-938
11684,4871,5375,-1974
11764,4629,5973,-2534
11844,4268,7251,-2275
11924,3843,7540,-2359
12004,3901,6504,-3209
12164,3971,6218,-2714
12324,4408,6479,-1684
12404,5369,5660,-887
12484,5937,5158,-516
12564,6142,4864,-736
12644,6220,4907,-223
12724,5821,5413,-343
12804,5422,6136,-1842
12884,5141,6687,-2516
12964,5071,6457,-2035
13044,4893,5948,-1829
13124,4681,6129,-2270
13204,4548,6333,-2954
13284,4341,6266,-3649
13364,4219,6226,-3751
13444,4085,6071,-3645
13524,4117,5854,-3937
13604,4098,5923,-4081
13684,3815,6084,-4029
13764,3598,6056,-4056
13843,3642,5659,-4496
13923,3193,4560,-5674
14003,2625,3373,-6873
14083,1976,1940,-7534
14163,1024,931,-7748
14243,495,537,-7840
14324,129,-185,-8002
14404,-469,-735,-8197
14484,-936,-1129,-8100
14563,-1196,-1364,-7833
14643,-1642,-1618,-7751
14723,-1978,-1788,-7602
14803,-2041,-1944,-7567
14883,-2053,-2393,-7721
14963,-2042,-2756,-7648
15043,-1917,-2797,-7366
15124,-1978,-2918,-7473
15203,-2169,-3077,-7720
15283,-1993,-2400,-7724
15363,-1817,-1180,-7632
15443,-1436,636,-6957
15523,-1012,3242,-5131
15603,-728,5687,-2171
15683,113,7391,-449
15763,1043,5837,-1063
15843,2135,4908,-3946
15923,2516,5166,-6767
16003,1455,3724,-7075
16083,457,3290,-7073
16163,256,3208,-7055
16243,487,2998,-6791
16323,654,2739,-6983
16403,852,2959,-7295
16483,1115,3480,-7449
16563,1169,3757,-7350
16643,1100,3784,-7244
16723,1085,3677,-7340
16803,1113,3730,-7291
16883,1057,3823,-7242
16963,895,3858,-7228
17043,725,3891,-7136
17203,654,3864,-7136
17283,562,3748,-7315
17363,382,3541,-7382
17443,213,3410,-7472
17523,57,3298,-7532
17603,-118,3169,-7602
17683,-166,3279,-7558
17763,-128,3391,-7316
17843,-94,3477,-7433
17923,-1,3704,-7334
18003,162,3887,-7246
18083,349,4127,-7281
18163,428,4358,-7110
18243,439,4286,-6970
18323,436,4236,-6905
18403,434,4349,-7011
18483,416,4308,-6992
18563,391,4280,-7001
18643,430,4361,-7039
18723,406,4296,-6962
18803,352,4155,-7021
18883,344,4055,-7065
18963,315,4068,-7171
19043,284,4083,-7195
19123,312,4115,-7086
19203,231,4062,-7292
19283,185,3773,-7328
19363,198,3731,-7132
19443,169,3781,-7271
19523,199,3778,-7267
19603,187,3836,-7248
19682,190,3864,-7308
19762,208,3757,-7395
19842,200,3511,-7496
19922,187,3627,-7526
20002,207,4108,-7796
20082,549,5194,-8076
20163,1512,6111,-7882
20243,2609,5351,-6988
20323,3403,3947,-5889
20403,3628,3206,-5222
20482,3238,2870,-5125
20562,3423,2884,-5139
20642,4355,2720,-5240
20722,4934,2438,-5313
20802,5085,1419,-5133
20883,4950,516,-4947
20963,4691,147,-4493
21042,4715,111,-4144
21122,4078,2015,-5126
21202,2730,4517,-7095
21282,1940,5727,-8116
21362,1374,6530,-8387
21442,949,6401,-8197
21522,938,5214,-7494
21602,942,4728,-7166
21682,892,4587,-7107
21762,937,4479,-6960
21842,873,4403,-6943
21922,792,4350,-6943
22002,865,4334,-6747
22082,754,4343,-6877
22242,668,4356,-7024
22322,739,4294,-6955
22402,772,4171,-7018
22482,898,4344,-7234
22562,889,4374,-7054
22642,816,4328,-6833
22722,825,4341,-6986
22802,692,4201,-6878
22882,545,4162,-6845
22962,493,4255,-6949
23042,546,4366,-7040
23122,665,4367,-7100
23202,652,4547,-7119
23282,671,4562,-7102
23362,723,4407,-7094
23442,722,4343,-7150
23522,687,4228,-7014
23602,628,4200,-7148
23682,558,4110,-7116
23762,474,4017,-6998
23842,503,4059,-7080
23922,457,4045,-6905
24002,470,4089,-6883
24082,629,4169,-6958
24162,669,4130,-6839
24242,697,4180,-6835
24322,701,4177,-6893
24402,686,4202,-6869
