Time (ms),X,Y,Z
85,917,-1278,-8159
165,769,-1132,-7985
245,623,-1072,-7930
325,658,-1002,-7938
405,674,-935,-8104
485,656,-887,-8309
565,647,-822,-8294
645,652,-706,-8184
725,602,-600,-8099
805,528,-543,-8034
884,852,-712,-7568
964,995,-825,-5933
1044,1360,-614,-4223
1124,3273,885,-4254
1205,6334,3138,-4609
1284,8862,4744,-3964
1364,9632,5877,-3117
1444,9324,6124,-2432
1524,9019,5607,-1958
1604,9337,5024,-1567
1684,9392,4693,-1230
1764,7744,4086,-1287
1844,6881,3273,-1032
1924,7931,2912,-264
2004,8309,2529,60
2084,7905,2197,-130
2164,7358,2128,-415
2244,7026,2078,-608
2324,8084,2201,-467
2404,9551,2787,-197
2484,9227,2967,-105
2564,8444,2811,151
2644,8087,2790,407
2724,7622,2558,621
2804,7354,2561,729
2884,7485,2742,643
2964,8306,2963,535
3044,9551,3117,373
3124,9253,3103,-530
3204,7850,2285,-1310
3284,7298,1255,-838
3364,7263,912,-251
3444,7374,811,126
3524,7384,1072,412
3604,7601,1560,623
3684,8676,2053,1012
3764,10236,2402,1219
3844,10614,2266,1316
3924,9415,1426,1267
4004,8429,514,1047
4084,8020,208,1056
4164,7523,389,1035
4244,7342,1012,990
4324,7761,1695,1200
4404,8461,2252,1384
4484,9957,2939,1392
4564,9553,3260,825
4644,7964,2820,483
4724,7838,2393,947
4804,7574,2202,1163
4884,7511,2181,852
5044,7648,2582,75
5124,8177,3025,-456
5204,8911,3718,-542
5284,8724,3606,-70
5364,7962,3041,509
5444,8127,2999,1010
5524,8144,2741,1295
5604,7820,2399,1103
5684,7660,2333,740
5764,7910,2345,537
5844,8487,2513,229
5924,9192,2770,0
6004,8274,2933,-696
6084,7060,2736,-1114
6164,7254,2507,-823
6244,7131,2563,-1020
6324,6835,2597,-1198
6404,6893,2690,-1246
6484,7586,2904,-1346
6564,9105,3337,-1469
6644,9847,3735,-1526
6724,9092,3409,-1160
6803,8680,2873,-572
6883,8453,2580,-246
6963,7528,2358,-111
7043,6729,2237,-90
7123,6895,2249,-72
7203,8074,2715,-260
7283,9546,3497,-579
7363,8942,3836,-1308
7443,7611,3285,-1579
7523,7357,2772,-955
7603,6821,2806,-996
7683,6460,2975,-1425
7763,6743,3131,-1668
7843,7807,3332,-1799
7923,9575,3707,-1962
8003,10092,3686,-1867
8083,9223,3027,-1225
8163,8869,2669,-610
8243,8354,2518,-272
8323,7456,2235,39
8403,6867,2146,244
8483,7010,2326,212
8563,8418,2683,197
8643,10193,3294,79
8723,9201,3579,-821
8803,7578,3063,-1131
8883,7555,2779,-720
8963,7195,2954,-1151
9043,6847,2925,-1831
9123,6984,2869,-1968
9203,7893,2894,-1734
9283,9555,2965,-1470
9363,10253,3058,-1091
9443,9298,2819,-701
9523,8563,2529,-357
9603,8211,2325,-9
9683,7595,2205,127
9763,6957,2319,106
9843,6694,2723,-23
9923,7468,3270,-297
10005,8930,3696,-442
10083,10304,3937,-364
10163,9091,3896,-841
10243,6664,3381,-1114
10323,6993,2706,-337
10403,7837,2442,-16
10483,7523,2362,-251
10563,7163,2495,-651
10643,6977,3035,-863
10723,7284,3390,-536
10803,8384,3572,-152
10883,9511,4041,44
10963,8901,3859,84
11043,8078,3372,257
11123,8233,3197,594
11203,7938,2799,853
11283,7638,2511,940
11363,7677,2471,929
11443,8054,2546,753
11523,8777,2709,159
11603,8900,3050,-682
11683,7719,3191,-1475
11763,7382,2830,-1444
11843,7737,2628,-994
11923,6872,2840,-1346
12003,7166,2974,-1187
12083,8269,3284,-1198
12163,9423,3719,-1170
12243,8834,3709,-840
12323,7817,3328,-499
12403,7581,2954,-118
12483,7540,2677,444
12563,7623,2565,809
12643,7781,2573,817
12723,8299,2679,513
12802,9138,2788,167
12882,9026,3087,-660
12962,7684,3141,-1559
13042,7562,2730,-1363
13122,7804,2487,-1025
13202,7089,2545,-1242
13282,6738,2657,-1361
13362,6967,2752,-1280
13442,7664,2967,-1293
13522,8936,3469,-1453
13602,9598,4027,-1502
13682,8762,3895,-1217
13762,8312,3364,-811
13842,8325,2954,-460
13922,7733,2540,-125
14002,7261,2288,108
14082,7348,2162,302
14162,7960,2384,171
14242,9117,2881,-198
14322,8538,3044,-925
14402,7490,2847,-1324
14482,7814,2781,-896
14562,7358,2801,-883
14642,6787,2939,-1236
14722,6648,3097,-1520
14802,6772,3043,-1576
14882,7769,3137,-1363
14962,9147,3471,-1332
15042,9133,3491,-1386
15122,8212,3090,-1018
15202,8048,2792,-351
15282,8159,2593,62
15362,7758,2509,212
15442,7306,2658,163
15522,7241,2838,12
15602,7560,3067,-110
15682,8427,3354,-312
15762,9548,3735,-449
15842,8286,3596,-1034
15922,6835,3139,-1281
16002,7414,2943,-696
16082,7547,2860,-594
16162,7336,2898,-760
16242,7169,2771,-641
16322,7305,2669,-534
16402,7983,2783,-569
16482,9256,3161,-731
16562,9567,3269,-764
16642,8509,2832,-557
16722,8066,2518,-324
16802,8031,2380,74
16882,7647,2205,337
16962,7186,2080,264
17042,7065,2159,153
17122,7658,2562,178
17202,8686,3033,104
17282,10113,3371,95
17362,9258,2974,-592
17442,7357,2115,-904
17522,7469,2004,-589
17602,7607,2226,-1287
17682,7108,2397,-1783
17762,6730,2862,-1801
17842,6707,3463,-1852
17922,6825,3811,-1791
18002,7085,4033,-1566
18082,6950,4248,-1452
18162,6485,4331,-1476
18242,6414,4412,-1402
18322,7747,4630,-1145
18402,8719,4193,-786
18482,8284,3494,-474
18562,7663,3228,-260
18642,7321,3027,-24
18721,7453,3189,189
18801,7395,3573,93
18881,7162,3854,-183
18961,7105,4019,-483
19042,7779,4071,-785
19121,9742,4095,-1098
19201,7770,3508,-1524
19281,6894,2602,-1091
19361,7407,2479,-838
19441,6972,2575,-1258
19521,6487,2526,-1436
19601,6603,2580,-1580
19681,6990,2802,-1860
19761,7605,3033,-1948
19841,9114,3602,-1912
19921,9903,4038,-1699
20001,8930,3482,-1147
20081,8391,2974,-557
20161,8190,2764,-162
20241,7696,2478,99
20321,7329,2379,119
20401,7448,2528,-77
20481,8340,2931,-416
20561,9781,3230,-719
20641,9044,3352,-1347
20721,6753,2948,-1581
20801,6658,2530,-827
20881,7152,2779,-570
20961,6981,3048,-971
21041,6970,3165,-1226
21121,7067,3365,-1439
21201,7616,3586,-1692
21281,8675,3578,-1519
21361,9348,3643,-1200
21441,9021,3409,-778
21521,8869,3000,-180
21601,8678,2750,142
21681,7906,2378,309
21761,7392,2186,405
21841,7136,2131,236
21921,7699,2387,-253
22001,9072,2942,-703
22081,8653,3218,-1494
22161,7451,2843,-1751
22241,7496,2497,-1095
22321,7201,2618,-1019
22401,6756,2819,-1308
22481,6848,2939,-1520
22561,7394,3012,-1670
22641,8067,3131,-1723
22721,8612,3417,-1730
22801,8524,3414,-1400
22881,8534,2960,-700
22961,8915,2672,-314
23041,8495,2460,-279
23121,7556,2182,-263
23201,6845,2172,-255
23281,6992,2534,-184
23361,7905,3071,-184
23441,9416,3594,3
23521,9130,3864,-191
23601,7579,3409,-546
23681,7505,2812,-114
23761,7248,2739,-15
23841,6607,2739,-430
23921,6556,2739,-649
24001,7335,2953,-563
24081,8663,3078,-259
24161,9692,3170,-7
24241,9301,3154,69
24321,8444,2736,-203
24401,8472,1935,-893
24481,8399,426,-755
24561,7964,-13,-58
24641,7599,1652,267
24721,7864,2873,539
24800,8697,3066,597
24880,9580,3216,675
24960,9488,3389,404
25040,8216,3204,-336
25120,7904,2615,-494
25200,8262,2323,-278
25280,7627,2195,-339
25360,6639,2050,-555
25440,6383,2153,-742
25520,7605,2714,-999
25600,10198,3940,-1359
25680,10955,4546,-1543
25760,9019,3889,-1288
25840,7997,3438,-921
25920,8084,3099,-571
26000,8082,2608,-41
26080,8064,2311,318
26160,7927,2138,391
26240,7727,2194,93
26320,8419,2357,-38
26400,9194,2945,-432
26480,8582,2972,-1307
26560,7921,2455,-1306
26640,7468,2573,-1041
26720,7077,2918,-1463
26800,7049,3147,-1805
26880,7705,3289,-1439
26960,8776,3585,-1444
27040,9378,3646,-1413
27120,8839,3230,-937
27200,8280,2797,-399
27280,8071,2570,-20
27360,7529,2336,353
27440,7123,2176,553
27520,7317,2229,475
27600,8066,2416,234
27680,9201,2605,139
27760,9576,2976,9
27840,8299,3012,-580
27920,7678,2542,-685
28000,7935,2383,-239
28080,7662,2479,-356
28160,7381,2362,-393
28240,7353,2298,-111
28320,7698,2414,208
28400,8252,2639,494
28480,9005,3000,183
28560,9203,3177,-312
28640,8663,3046,-346
28720,8403,3070,-226
28800,8119,2894,9
28880,7868,2435,521
28960,7759,2256,836
29040,7452,2232,804
29120,7565,2409,465
29200,8659,2739,-18
29280,9895,3422,-610
29360,8354,3621,-1485
29440,6713,3279,-1662
29520,7536,3213,-1036
29600,7878,3123,-889
29680,7738,3166,-940
29760,7767,3092,-554
29840,7754,2844,-272
29920,7740,2720,-140
30000,7913,2679,75
30080,8540,3079,39
30160,8158,3325,-38
30240,7706,3106,106
30320,8281,3030,267
30400,8225,2875,444
30480,7874,2640,630
30560,7796,2514,759
30639,8007,2472,844
30719,8404,2572,577
30799,8778,2747,248
30879,7884,2982,-597
30959,7118,2963,-1444
31039,7989,2391,-1378
31119,8063,2159,-1373
31199,7150,2384,-1243
31279,6690,2454,-960
31359,6971,2606,-879
31439,7938,2985,-893
31519,9013,3366,-959
31599,9292,3868,-1050
31679,8312,3898,-836
31759,8009,3442,-454
31839,8363,3093,-217
31919,7972,2639,48
31999,7585,2266,308
32079,7542,2126,472
32159,8034,2265,472
32239,9245,2518,361
32319,9426,2867,-425
32399,8161,2645,-1236
32479,7767,2149,-1093
32559,7584,2370,-1086
32639,6918,2584,-1391
32719,6659,2667,-1396
32799,7024,2962,-1356
32879,7886,3381,-1388
32959,8989,3824,-1446
33039,9212,4091,-1525
33119,8582,3814,-1288
33199,8783,3334,-844
33279,8954,2940,-543
33359,8180,2491,-301
33439,7384,2163,-68
33519,7089,2044,117
33599,7532,2261,101
33679,8858,2789,-25
33759,10091,3138,-153
33839,8830,3130,-673
33919,7413,2998,-993
33999,7564,2741,-673
34079,7165,2637,-669
34159,6842,2820,-1000
34239,7024,2948,-1231
34319,7545,3084,-1236
34399,8591,3302,-1153
34479,9445,3394,-1063
34559,8862,3104,-680
34639,8145,2474,-177
34719,8033,2095,314
34799,7648,2038,748
34879,7554,2019,933
34959,7698,2225,858
35039,7808,2593,592
35119,8081,2842,118
35199,8960,3189,-223
35279,8268,3384,-945
35359,6528,3228,-1692
35439,7066,3146,-1314
35519,7701,2977,-751
35599,7588,3115,-440
35679,7491,2957,-74
35759,7242,2935,55
35839,7262,2933,81
35919,7954,2232,-95
35999,9217,2025,-287
36079,8986,2449,-591
36159,7922,2340,-682
36239,8126,1733,181
36319,8170,930,1130
36399,7840,734,1444
36479,7977,925,883
36559,8237,1586,-19
36638,8110,2218,-474
36718,8137,2744,-687
36798,9267,3348,-496
36878,9590,3442,-501
36958,7648,2512,-1083
37038,7528,1489,-826
37118,8685,1319,-399
37198,8268,1513,-447
37278,7894,1800,-205
37358,7788,1994,-134
37438,7662,2101,-127
37518,7748,2237,13
37598,8079,2351,266
37678,8788,2302,555
37758,8973,2040,903
37838,8343,1465,1262
37918,8467,1231,1276
37998,8636,1148,1239
38078,8100,905,1478
38158,7756,1013,1838
38238,7681,1183,2133
38318,7655,1416,2280
38398,7847,1900,2058
38478,8168,2229,1775
38558,9035,2330,1763
38638,8482,2182,878
38718,7533,1779,209
38798,8252,1600,579
38878,8553,1815,547
38958,8258,2181,464
39038,7847,2368,673
39118,7519,2498,668
39198,7664,2712,469
39278,8518,3077,325
39358,8754,3349,190
39438,8180,3024,306
39518,8067,2642,608
39598,8244,2796,817
39678,8114,2800,1094
39758,7959,2443,1274
39838,8023,2268,1136
39918,8378,2349,884
39998,8970,2481,485
40078,9375,2661,-188
40158,8043,2729,-1356
40238,6713,2401,-1909
40318,7434,2146,-1492
40398,7821,2104,-1546
40478,7208,2101,-1588
40558,6777,2271,-1454
40638,7020,2581,-1776
40718,7782,2862,-1900
40798,9384,3087,-1779
40878,9730,3192,-1662
40958,8294,2882,-1096
41038,7770,2857,-362
41118,8072,3153,210
41198,8170,2966,751
41278,7959,2666,969
41358,7827,2594,866
41438,7953,2492,579
41518,8380,2462,-50
41598,8912,2499,-608
41678,8314,2474,-1441
41758,7309,2351,-2000
41838,7703,2148,-1492
41918,7913,2131,-1119
41998,7251,2378,-1107
42078,6993,2596,-1204
42158,7240,2715,-1360
42238,8072,3010,-1518
42318,9409,3429,-1771
42398,9451,3650,-1881
42478,8471,3429,-1445
42557,8629,3078,-773
42637,8721,2769,-220
42717,7909,2480,209
42797,7326,2277,409
42877,7233,2199,340
42957,7462,2257,-127
43037,8014,2557,-696
43117,9287,3004,-884
43197,8856,3077,-1331
43277,7247,2820,-1590
43357,7589,2768,-1105
43437,7894,2890,-913
43517,7284,3023,-1139
43597,6932,3008,-1236
43677,7203,2856,-1153
43757,7884,2803,-1055
43837,9133,2974,-940
43917,9476,3131,-879
43997,8492,2922,-696
44077,8323,2696,-381
44157,8202,2472,-148
44237,7462,2188,-48
