Time (ms),X,Y,Z
85,-3156,2498,-8067
165,-4162,2166,-8309
245,-2547,1490,-8294
325,-1760,1798,-8073
485,-1624,1771,-7911
565,-2243,1041,-7135
645,-3420,428,-5210
725,-4242,2182,-1922
805,-4856,5571,1353
885,-6278,7748,2069
965,-9144,8175,1191
1045,-11061,9569,-209
1125,-10196,9280,-1297
1204,-8914,6455,-720
1284,-8384,4617,539
1364,-8427,3291,1476
1444,-8695,2202,2024
1604,-8632,1737,2528
1684,-8303,2033,2464
1764,-7442,2333,1691
1845,-6357,2601,1083
1924,-6320,2752,927
2004,-7183,2617,761
2084,-8473,2870,555
2164,-9732,3705,664
2244,-10413,4069,1526
2324,-9698,3547,2321
2404,-8100,2740,2478
2484,-6886,1988,2475
2564,-6328,1390,2251
2724,-7707,1068,2138
2804,-10135,1977,2214
2884,-10558,3340,1924
2964,-8408,3412,1098
3044,-6500,3036,491
3124,-6865,3091,463
3204,-8317,3322,468
3284,-9728,3651,171
3364,-11240,4429,596
3444,-11142,4168,1597
3524,-9312,2919,2115
3604,-7912,2080,2476
3684,-6909,1382,2670
3844,-7338,885,2633
3924,-9561,1302,2624
4004,-11205,2402,2346
4084,-9870,2915,1568
4164,-7361,2907,897
4244,-7148,3151,721
4324,-8474,3683,562
4404,-9972,4204,360
4484,-11158,4703,847
4564,-11351,4304,2013
4644,-10016,3127,2642
4724,-8385,2237,2833
4804,-7352,1540,2973
4964,-7023,1002,2945
5044,-8134,1400,2573
5124,-10215,2379,1835
5204,-9990,3016,1091
5284,-8091,3201,607
5364,-7761,3125,492
5444,-8367,3193,438
5524,-9683,3839,405
5604,-11278,4601,1038
5684,-11425,3992,2093
5764,-9845,2717,2423
5844,-8263,1790,2509
5924,-7252,1135,2686
6084,-7489,702,2845
6164,-9213,1277,2654
6244,-10888,2442,1865
6324,-10107,2797,1062
6404,-8061,2766,610
6484,-7593,2957,365
6564,-8289,3515,64
6644,-9774,4279,59
6724,-11688,4346,1150
6804,-11838,3497,2299
6884,-10294,2811,2400
6964,-8814,1979,2609
7044,-7116,1163,2613
7203,-6256,664,2171
7284,-8912,927,2605
7363,-12439,4225,2466
7443,-11496,5465,1274
7524,-8333,3566,530
7603,-7139,3091,303
7684,-8000,3194,495
7763,-9529,3540,483
7843,-10481,3958,554
7923,-10814,3632,1227
8003,-9987,2421,1635
8083,-8346,1481,1672
8163,-7479,991,1774
8323,-7288,814,1694
8403,-8155,1295,1912
8483,-9370,3150,2407
8563,-8742,4707,2450
8643,-6801,4742,2240
8723,-5887,4646,1697
8803,-7254,4380,1069
8883,-9403,4042,537
8963,-10448,4227,323
9043,-10645,4202,838
9123,-9592,3601,1351
9203,-7718,2877,1599
9283,-6375,2086,1809
9443,-6132,1402,2128
9523,-8052,1176,2431
9603,-10544,1951,1804
9683,-10578,2534,820
9763,-8272,2370,327
9843,-6411,2448,-91
9923,-6542,2715,-439
10005,-8277,3394,-397
10083,-10486,4343,646
10163,-10790,4298,2158
10243,-8644,3569,2727
10323,-6806,3229,2556
10403,-6667,3096,2648
10563,-7481,2923,2972
10643,-8851,2552,3158
10723,-9499,2336,2100
10803,-8793,1911,548
10883,-7414,1662,-320
10963,-6771,1699,-982
11043,-7393,1451,-932
11123,-8272,1635,-166
11203,-9417,2788,371
11283,-10010,3983,766
11363,-8903,4045,1079
11443,-7166,3400,1062
11523,-6382,2595,1208
11683,-6802,2074,1379
11763,-8603,1823,1322
11843,-9810,1902,928
11923,-9237,2118,505
12003,-7681,2228,342
12083,-6084,2483,317
12163,-6483,2688,314
12243,-7933,2673,151
12323,-9489,2973,40
12403,-10778,4095,458
12483,-10500,4293,1089
12563,-8807,3293,1357
12643,-7514,2400,1551
12802,-6988,1693,1547
12882,-6948,1167,1340
12963,-8705,990,1645
13042,-10677,1881,1344
13122,-9607,2518,332
13203,-6897,2337,-54
13282,-6129,2535,-149
13362,-7606,2678,-211
13442,-9422,2677,110
13522,-10175,3094,457
13602,-10201,3494,892
13682,-9129,3203,1393
13762,-7571,2597,1602
13922,-7109,1862,1810
14002,-7269,1237,1976
14082,-8641,1159,2258
14162,-10537,2079,1953
14242,-10088,2773,1239
14322,-7659,2567,727
14402,-6475,2548,497
14482,-7076,2804,313
14562,-8329,3085,48
14642,-9392,3447,86
14722,-10050,3702,642
14802,-9545,3188,1337
14882,-7859,2428,1575
15042,-7226,1723,1874
15122,-7690,1019,2193
15202,-8769,946,2453
15282,-9956,1766,2181
15362,-9117,2414,1439
15442,-7181,2536,1034
15522,-7234,2867,794
15602,-8412,3234,400
15682,-9687,3755,12
15762,-10640,4477,172
15842,-10785,4318,963
15922,-9871,3356,1658
16002,-8565,2438,1990
16162,-8008,1548,2170
16242,-7969,878,2109
16322,-8806,1265,1833
16402,-9836,2444,1414
16482,-9053,3123,766
16562,-7262,3191,268
16642,-7434,3326,-118
16722,-8795,3670,-709
16802,-10113,4343,-916
16882,-11393,4871,-150
16962,-11214,4297,1018
17042,-9542,3252,1572
17122,-8258,2304,1847
17282,-7378,1435,2027
17362,-7454,1038,1871
17442,-8984,1502,1551
17522,-10253,2299,1001
17602,-9264,2748,368
17682,-7480,2991,31
17762,-7433,3173,-75
17842,-8282,3206,-184
17922,-9379,3469,-244
18002,-10197,4309,52
18082,-10639,4342,814
18162,-10110,3384,1323
18242,-8796,2494,1458
18402,-7467,1779,1017
18482,-6650,1147,692
18562,-8045,1357,1377
18642,-10276,2479,1535
18721,-10129,2883,780
18801,-8165,2815,146
18881,-7240,2980,-226
18962,-7740,3039,-426
19041,-8708,3170,-281
19121,-9500,3768,-8
19201,-10263,4141,769
19281,-9926,3512,1618
19361,-8301,2536,1749
19521,-7346,1603,1887
19601,-7081,1022,2020
19681,-8340,1145,2090
19761,-10294,1953,1884
19841,-9958,2569,1301
19921,-7769,2549,884
20001,-7005,2522,757
20081,-7716,2741,639
20161,-8756,3235,430
20241,-9796,4311,290
20321,-10614,4702,584
20401,-10269,3672,1199
20481,-8666,2671,1588
20641,-7952,1939,1897
20721,-7799,1367,1837
20801,-8453,981,1612
20881,-9364,1287,1550
20961,-9046,2020,1299
21041,-7908,2489,1045
21121,-7692,2836,952
21201,-8548,3143,653
21281,-9605,3825,156
21361,-10149,4501,-102
21441,-10249,4253,434
21521,-9741,3411,1274
21601,-8419,2668,1751
21761,-8067,1955,2170
21841,-8177,1306,2416
21921,-8663,1132,2489
22001,-9420,1477,2215
22081,-8936,1903,1498
22161,-7625,2315,993
22241,-7535,2840,706
22321,-8501,3333,282
22401,-9643,4049,-180
22481,-10688,4819,-63
22561,-11115,4563,811
22641,-10196,3556,1509
22721,-8504,2582,1878
22881,-7595,1616,2323
22961,-7188,1054,2521
23041,-8356,1612,1914
23121,-10276,2683,973
23201,-9352,3080,296
23281,-6795,2958,-46
23361,-6106,2936,59
23441,-7484,3454,15
23521,-9604,4448,-296
23601,-10567,4834,-126
23681,-10316,4417,440
23761,-9260,3744,867
23841,-7845,2951,1126
24001,-6775,1967,1289
24081,-6396,1406,1519
24161,-8661,1383,2044
24241,-11272,2141,1350
24321,-10619,2682,105
24401,-8103,2346,-229
24481,-6819,2419,-530
24561,-7210,2402,-474
24641,-8085,2343,-81
24721,-9415,3033,43
24800,-10445,3969,357
24880,-9960,3757,990
24960,-8427,2889,1405
25120,-7363,2117,1675
25200,-7268,1459,1963
25280,-8316,1177,2004
25360,-9625,1439,1494
25440,-9851,1834,923
25520,-8317,2206,494
25600,-6637,2585,226
25680,-6741,2667,59
25760,-7900,2868,-139
25840,-9696,3782,-95
25920,-10900,4472,489
26000,-10198,3898,1291
26160,-8504,2904,1699
26240,-7476,2133,1923
26320,-7167,1568,2191
26400,-7697,1194,2307
26480,-9302,1566,2096
26560,-10401,2320,1554
26640,-9077,2578,737
26720,-7000,2544,152
26800,-6851,2691,-113
26880,-7994,3101,-287
26960,-9441,3574,-2
27040,-10568,4179,737
27120,-10837,4111,1475
27280,-9631,3148,1853
27360,-8189,2307,2106
27440,-7396,1744,2387
27520,-6600,1464,2398
27600,-7954,1632,2130
27680,-10011,2377,1203
27760,-9561,2861,181
27840,-7746,2813,-210
27920,-7182,3090,-341
28000,-7909,3432,-505
28080,-8795,3421,-232
28160,-9746,3724,237
28240,-10530,4044,806
28400,-9898,3288,1371
28480,-8219,2449,1548
28560,-7240,1809,1759
28640,-6758,1221,1934
28720,-8019,1340,1990
28800,-10374,2104,1564
28880,-10653,2699,819
28960,-8443,2661,258
29040,-6456,2472,185
29120,-6512,2709,372
29200,-7759,3246,144
29280,-9553,4000,-236
29440,-11004,4668,-192
29520,-11211,4254,426
29600,-10181,3343,954
29680,-8283,2517,1661
29760,-6740,1543,2051
29840,-6209,943,1994
29920,-8395,1313,2206
30000,-11609,2919,1349
30080,-10998,3387,121
30160,-7972,2597,-161
30240,-6758,2810,-38
30320,-7481,3216,-56
30400,-8774,3483,131
30560,-10052,4145,330
30639,-10870,4274,875
30719,-10175,3421,1539
30799,-8545,2451,1764
30879,-7503,1546,2108
30959,-6804,988,2311
31039,-7818,1171,2123
31120,-10409,2128,1490
31199,-10943,2796,827
31279,-8672,2834,466
31359,-6717,2912,281
31439,-6625,3144,50
31599,-7726,3185,19
31679,-9521,3425,235
31759,-10571,3956,643
31839,-10300,3554,1269
31919,-9141,2658,1552
31999,-7995,2061,1718
32079,-7297,1518,2001
32159,-7442,1119,2124
32239,-9175,1583,1883
32319,-10350,2431,1403
32399,-9207,2673,821
32479,-7188,2794,285
32559,-6759,3174,18
32719,-7584,3216,-183
32799,-8796,3030,55
32879,-9986,3473,422
32959,-10472,3739,1003
33039,-9572,3146,1590
33119,-7939,2417,1651
33199,-7016,1735,1816
33279,-6764,1246,2063
33359,-8320,1292,2119
33439,-10506,1945,1522
33519,-10390,2617,722
33599,-8278,2759,316
33759,-6730,2817,143
33839,-6802,2946,-91
33919,-7706,2861,-124
33999,-9324,3249,-37
34079,-10650,4027,379
34159,-10636,3741,1086
34239,-9486,2831,1492
34319,-8326,1979,1887
34399,-7230,1224,1994
34479,-6890,923,1907
34559,-8806,1372,1602
34639,-10861,2443,760
34719,-9940,3020,-102
34879,-7368,2836,-530
34959,-6476,2759,-585
35039,-7460,3269,-713
35119,-8406,3815,-226
35199,-8967,4223,522
35279,-9672,4260,888
35359,-9361,3465,1101
35439,-8464,2455,1294
35519,-7499,1719,1606
35599,-6537,1222,1709
35679,-7694,1076,1792
35759,-10471,1861,1335
35919,-10783,2620,379
35999,-8282,2504,-152
36079,-6629,2357,61
36159,-6712,2561,178
36239,-7519,2554,-32
36319,-8553,2431,74
36399,-9531,3330,64
36479,-10345,3869,376
36559,-9623,3146,965
36638,-8023,2331,1162
36718,-7114,1567,1519
36798,-6690,1014,1917
36879,-8260,1038,1948
37038,-10820,1835,1579
37118,-10853,2489,971
37198,-8340,2443,449
37278,-6238,2473,410
37358,-6504,2905,460
37438,-7977,3081,74
37518,-9595,3172,-354
37598,-10572,3786,-196
37678,-10387,3808,570
37758,-9062,3059,1252
37838,-7556,2248,1664
37918,-6837,1460,2027
38078,-7031,1127,2247
38158,-9120,1466,2384
38238,-10666,2137,1697
38318,-9414,2604,608
38398,-7208,2642,228
38478,-6316,2754,94
38558,-6959,2874,-29
38638,-7968,2717,16
38718,-9420,3361,-14
38798,-10575,4080,237
38878,-9884,3569,891
38958,-8127,2708,1265
39038,-7291,1914,1653
39198,-7089,1364,2021
39278,-7951,1312,1860
39358,-9472,2057,1136
39438,-9822,3002,406
39518,-8431,3178,6
39598,-6451,2858,7
39678,-6424,2795,178
39758,-7872,3013,-92
39838,-9828,3524,-133
39918,-10603,4138,531
39998,-9897,3921,1285
40078,-8518,3205,1568
40238,-7046,2521,1658
40318,-6531,1775,1981
40398,-6650,1359,2149
40478,-8600,1498,1997
40558,-10475,2255,1081
40638,-9615,2838,47
40718,-7353,2657,-256
40798,-6179,2513,-124
40878,-6750,2634,-28
40958,-7673,2622,-120
41038,-9035,3095,-197
41118,-10233,3981,-63
41198,-9802,3839,376
41358,-8413,2971,726
41438,-7296,2181,1094
41518,-6383,1438,1436
41598,-6887,1116,1425
41678,-9257,1769,1019
41758,-10397,2611,710
41838,-8691,2646,361
41918,-6427,2277,164
41998,-6353,2447,311
42078,-7830,2859,158
42158,-9194,3077,232
42238,-9735,3682,445
42398,-9851,3896,792
42478,-9205,3159,1270
42557,-7845,2337,1502
42637,-7270,1681,1806
42717,-7130,1230,2067
42798,-8628,1199,2385
42877,-10445,2157,1945
42957,-9935,2724,1056
43037,-7989,2536,591
43117,-6612,2824,263
43197,-6772,2967,135
43277,-7744,2743,59
43357,-9452,3083,100
43517,-10624,3916,435
43597,-10274,3894,1052
43677,-8916,3107,1537
43757,-7787,2262,2001
43837,-7039,1552,2278
43917,-6852,1144,2211
43997,-8643,1679,1872
44077,-10384,2834,911
44157,-9240,3151,96
44237,-6837,2658,143
44317,-6160,2471,395
44397,-7441,2964,350
44557,-9507,3655,398
44637,-10241,4148,437
44717,-9873,4003,669
44797,-8822,3260,1136
44877,-7436,2470,1558
44957,-6841,1751,2020
45037,-6743,1296,2270
45117,-8669,1452,2283
45197,-10541,2301,1462
45277,-9758,2680,549
45357,-7676,2490,406
45437,-6483,2734,509
45517,-6738,3036,464
45677,-7779,3151,280
45757,-9417,3717,220
45837,-10386,4092,585
45917,-9958,3541,1259
45997,-8623,2746,1667
46077,-7531,1965,1968
46157,-6577,1294,2220
46237,-6799,1314,2200
46317,-9011,2220,1381
46397,-10333,3026,110
46477,-8892,3086,-516
