Time (ms),X,Y,Z
85,978,-4255,-7138
165,874,-4211,-7167
245,689,-4199,-7181
325,466,-4193,-7366
405,243,-4114,-7478
485,-74,-4085,-7368
565,-445,-4226,-7180
645,-498,-4291,-6990
725,-326,-4398,-6859
805,-127,-4585,-6900
885,111,-4775,-6911
965,222,-5119,-7070
1045,249,-5323,-7537
1125,381,-4931,-7908
1205,664,-4133,-7876
1285,907,-3428,-7733
1364,1012,-3117,-7299
1445,993,-3185,-6713
1524,923,-3472,-6687
1604,926,-3999,-7136
1685,901,-4544,-7696
1815,608,-4525,-8213
1844,-75,-3944,-8360
1924,-538,-3267,-7133
2004,-210,-3349,-6439
2084,-13,-3618,-6346
2164,224,-4118,-6841
2244,446,-4566,-7490
2375,891,-4458,-7809
2404,987,-4314,-7770
2484,478,-4127,-7214
2564,-59,-3383,-6058
2644,-668,-2181,-4683
2724,-1721,-708,-3938
2804,-3920,739,-3976
2884,-7712,2131,-4719
3015,-11674,2166,-5706
3044,-12651,1157,-5757
3124,-10382,1899,-5259
3204,-7907,2262,-5087
3284,-6949,1535,-5160
3364,-7075,1537,-5109
3444,-7765,1453,-4761
3524,-8608,1362,-3950
3604,-8728,1534,-2965
3684,-8314,1972,-2275
3764,-7507,2578,-2090
3844,-6541,2972,-2354
3924,-6184,3095,-2904
4004,-6334,3025,-3554
4084,-6600,2685,-3967
4164,-6682,2347,-4399
4295,-6728,2394,-4934
4324,-6664,2826,-5149
4404,-6387,3403,-5061
4484,-6087,3979,-4781
4564,-5725,4539,-4378
4644,-5266,4962,-4155
4724,-5692,4809,-4128
4804,-6574,3679,-3261
4884,-7182,1786,-1713
4964,-8396,229,-309
5094,-9431,-36,671
5124,-10059,514,761
5204,-10054,865,496
5284,-8915,951,415
5364,-7727,1129,44
5444,-7113,938,-795
5524,-7185,414,-1844
5604,-7723,-26,-2666
5684,-8588,-556,-2845
5814,-9154,-778,-2586
5844,-9384,-276,-2210
5924,-8851,624,-1838
6004,-7748,1258,-1451
6084,-7208,1792,-1347
6164,-6820,2426,-1734
6244,-6571,2875,-2547
6324,-6984,3144,-3353
6454,-7578,2945,-3669
6484,-7761,2537,-3645
6564,-7086,2500,-3532
6644,-6874,2363,-3385
6724,-6955,2188,-3086
6804,-6514,2440,-2861
6884,-6436,2787,-2722
6964,-6486,3180,-2606
7044,-6893,3646,-2543
7124,-7356,4118,-1985
7254,-8101,4501,-1280
7283,-9363,4039,-465
7364,-9421,3175,146
7443,-8330,2652,251
7523,-7429,2357,292
7604,-6743,2629,217
7683,-6526,3448,3
7763,-7014,4231,-421
7844,-7387,4349,-944
7974,-7040,4096,-1503
8003,-6997,4132,-1918
8083,-7242,3816,-1761
8163,-7288,3497,-1492
8243,-7395,3537,-1358
8323,-7402,3419,-979
8403,-7260,3458,-479
8483,-6887,3459,386
8563,-7490,3536,1226
8695,-8796,3598,1686
8723,-8534,3362,1789
8803,-7617,3201,1513
8883,-7216,3305,1171
8963,-7071,3601,687
9043,-6910,4012,137
9123,-6962,4955,-811
9254,-7670,5557,-1613
9283,-7974,5078,-1568
9363,-7809,3967,-1137
9443,-8432,1946,-364
9523,-8330,525,65
9603,-7104,494,-51
9683,-6720,830,-421
9763,-7062,1226,-1012
9843,-7144,1521,-1501
9923,-7320,1813,-1934
10003,-8178,2119,-2264
10163,-8944,2578,-1991
10243,-8859,2297,-1403
10323,-7991,2217,-872
10403,-7518,2146,-573
10483,-6913,2172,-528
10563,-6452,2500,-746
10643,-7133,2773,-737
10723,-8672,2900,-775
10855,-8963,2337,-1024
10883,-8774,1382,-738
10963,-8352,1167,-179
11043,-7251,1434,-139
11123,-6823,1840,-761
11203,-6845,1722,-1683
11283,-7325,1334,-2685
11363,-7967,1230,-3391
11495,-8557,1421,-3772
11523,-8747,1869,-3522
11603,-9177,2316,-2586
11683,-8959,2260,-1373
11763,-7722,1662,-209
11843,-7230,1434,410
11923,-7223,1730,298
12003,-7706,2277,-292
12083,-8470,2754,-772
12215,-8877,2798,-809
12243,-8665,2510,-450
12323,-7841,2316,-164
12403,-7747,2747,-166
12483,-7754,2675,-270
12563,-7057,2103,-720
12643,-6920,2041,-1561
12723,-7420,1858,-2321
12803,-8200,1671,-2803
12935,-8486,1635,-2849
12963,-8577,1806,-2562
13043,-8560,2364,-2045
13123,-8543,2650,-1488
13203,-8304,2706,-1219
13282,-7741,2767,-1051
13363,-7564,2795,-964
13442,-7737,2970,-949
13522,-8194,2856,-917
13603,-8167,2495,-1013
13682,-7532,2139,-1339
13762,-7500,1725,-1952
13843,-8101,918,-2204
13974,-7996,507,-2211
14002,-7443,810,-2384
14082,-7134,1182,-2525
14162,-7204,1595,-2685
14242,-7612,1992,-2657
14374,-7725,2511,-2464
14402,-7821,3094,-2639
14482,-8523,3375,-2875
14562,-8962,3112,-2609
14642,-8645,2854,-2314
14722,-7934,2716,-1929
14802,-7073,2498,-1391
14882,-6663,2379,-977
14962,-6805,2409,-750
15042,-7571,2611,-747
15190,-8244,2850,-1079
15324,-8440,2872,-1608
15362,-7445,2801,-1993
15442,-7016,2828,-2232
15522,-7328,2926,-2497
15654,-7875,3091,-2672
15682,-8036,2997,-2540
15762,-8222,2843,-2461
15842,-8326,2369,-2203
15922,-7904,2217,-1783
16002,-7597,2419,-1545
16082,-7582,2351,-1246
16162,-7583,2396,-936
16242,-7772,2425,-748
16322,-8338,2508,-652
16454,-8149,2512,-582
16482,-8095,2351,-643
16562,-8122,2234,-834
16642,-7357,2214,-1102
16722,-7000,2417,-1457
16802,-6885,2769,-2085
16882,-7429,3086,-2676
17014,-8195,3192,-2969
17042,-8988,2523,-2857
17122,-9306,2630,-2464
17202,-9344,3244,-1922
17282,-9199,2855,-1106
17362,-8252,2426,-401
17442,-7341,2252,-47
17522,-6856,2264,-18
17602,-6656,2356,-380
17682,-7194,2441,-668
17762,-8692,2916,-965
17894,-9134,3684,-1428
17922,-8632,4264,-1874
18002,-7988,4125,-2159
18082,-7150,3710,-2011
18162,-6869,3738,-1736
18242,-7072,3786,-1301
18402,-8692,3847,1234
18534,-9322,3435,2134
18562,-8147,2722,2673
18642,-7104,2492,2745
18722,-7010,2752,2471
18802,-7291,3309,1959
18882,-7567,3782,1456
19014,-7739,4045,1016
19042,-7887,4236,691
19122,-8025,4223,506
19201,-8140,3875,471
19282,-7647,3073,301
19361,-7767,1956,-180
19441,-8029,1298,-626
19524,-7519,975,-1014
19601,-7434,755,-1271
19681,-7199,1020,-1434
19762,-6815,1553,-1630
19841,-7030,2289,-1934
19921,-8240,2939,-2025
20001,-9154,3422,-1973
20081,-8760,3783,-1804
20161,-8466,3534,-1043
20241,-8217,3024,-329
20321,-7675,2855,-218
20401,-7464,2682,-379
20481,-7042,2457,-899
20561,-6546,2249,-1935
20641,-6887,1862,-2897
20721,-7772,1732,-3234
20801,-8441,1860,-2844
20881,-8035,2107,-2578
20961,-7982,2095,-2479
21041,-8060,1773,-1980
21121,-7277,1674,-1833
21201,-7108,1645,-1927
21281,-7115,1554,-1885
21361,-7315,1529,-1883
21441,-7843,1859,-2018
21521,-8431,2286,-2047
21601,-8389,2699,-1984
21681,-8327,3558,-2006
21761,-9049,4368,-1538
21841,-9369,4344,-423
21921,-8792,3958,379
22001,-7541,4042,548
22081,-6258,4466,123
22161,-5770,4919,-536
22241,-6218,4891,-887
22321,-7237,4144,-1075
22401,-7380,3215,-1317
22481,-6541,2551,-1746
22561,-7355,2208,-1963
22641,-8417,2218,-2098
22721,-7862,2240,-2400
22801,-7125,2080,-2652
22881,-6807,2312,-2727
22961,-7538,2719,-2711
23041,-8391,3148,-2746
23121,-8857,3545,-2694
23201,-9715,3354,-2174
23281,-9637,2881,-1420
23361,-8721,2746,-974
23441,-8115,2614,-562
23521,-7226,2502,-326
23601,-6521,2526,-524
23681,-6346,2461,-949
23761,-7143,2362,-1233
23841,-8258,2607,-1485
23921,-9461,3036,-1926
24001,-9766,2827,-2004
24081,-8568,2618,-1861
24161,-7403,2743,-1778
24241,-6671,2784,-1730
24321,-6945,2973,-1956
24401,-7611,3292,-2530
24481,-8049,3254,-3080
24561,-8219,2868,-3353
24641,-8000,2595,-3165
24721,-8350,2552,-2480
24801,-8223,2601,-1750
24881,-7438,2615,-1153
24961,-7106,2579,-653
25041,-6670,2451,-352
25121,-6731,2400,-280
25201,-7665,2556,-366
25281,-9048,2773,-551
25361,-9625,2533,-219
25440,-8638,2199,-200
25521,-7973,1822,-730
25601,-7723,1227,-1088
25680,-7265,1044,-1340
25761,-7094,1257,-1381
25840,-7108,1587,-1545
25920,-7781,1912,-1878
26001,-8376,2182,-2058
26080,-8705,2480,-1871
26241,-8818,2764,-1078
26320,-8228,2597,-746
26400,-7808,2417,-515
26480,-7253,2239,-364
26560,-6918,2207,-371
26640,-7308,2269,-391
26720,-8173,2418,-392
26800,-8978,2649,-358
26880,-9395,3022,-684
26960,-8822,2940,-1024
27040,-7427,2765,-1088
27120,-6692,2845,-1468
27200,-6562,2934,-2218
27280,-7116,3206,-3020
27360,-8075,3093,-3360
27440,-8215,2947,-3364
27520,-8007,3033,-3213
27600,-9173,2962,-2758
27680,-9785,2621,-2025
27760,-8739,2548,-1324
27840,-7679,2565,-836
27920,-6561,2274,-522
28000,-6168,2181,-385
28080,-6898,2419,-543
28160,-8392,2889,-1060
28240,-9268,3219,-1541
28320,-9052,3364,-1884
28400,-8320,3219,-1959
28480,-7321,3083,-1781
28560,-6659,3113,-1714
28640,-6521,2999,-1803
28720,-7200,2929,-2024
28800,-7960,2871,-2144
28880,-8614,2997,-2234
28960,-8944,3013,-1960
29040,-9055,2790,-1251
29120,-9013,2712,-784
29200,-8609,2539,-422
29280,-8541,2270,-82
29360,-8406,2119,144
29440,-7942,2074,234
29520,-7854,2079,327
29600,-8231,2320,63
29680,-8774,2894,-462
29760,-9232,3375,-604
29908,-8754,3523,-431
29925,-7763,3694,-462
30000,-6831,3936,-809
30080,-6021,4143,-1543
30160,-5762,4538,-2731
30240,-6146,4560,-3780
30320,-6615,4169,-4209
30400,-7440,3893,-4136
30480,-8704,3559,-3496
30560,-8918,3198,-2608
30640,-8112,2843,-1964
30720,-7600,2472,-1407
30800,-7139,2376,-1028
30880,-6608,2724,-1048
30960,-6224,3415,-1526
31040,-6224,4105,-2185
31120,-6908,4333,-2535
31200,-7815,4080,-2451
31280,-7590,3612,-2317
31359,-7262,3010,-2153
