Time (ms),X,Y,Z
85,-2112,1426,-7858
165,-2176,1456,-7812
245,-2343,1445,-7748
326,-2421,1389,-7778
405,-2431,1388,-7852
485,-2368,1490,-7818
565,-2355,1478,-7734
645,-2392,1387,-7746
725,-2418,1379,-7751
805,-2456,1418,-7729
885,-2456,1444,-7726
965,-2456,1457,-7742
1045,-2456,1394,-7758
1125,-2516,989,-8005
1205,-2373,536,-8120
1285,-1273,794,-7311
1365,469,3322,-4834
1445,1427,6329,-2500
1525,1370,7628,-1181
1605,967,8370,-677
1685,771,8990,-860
1765,893,9254,-963
1845,848,9180,-1395
1925,784,8847,-1921
2005,1096,8060,-2303
2085,1677,7641,-2438
2165,2169,7711,-2526
2245,2681,7606,-2482
2325,3210,8044,-2505
2405,3653,8864,-2634
2485,4039,8827,-2823
2565,4415,7640,-2356
2645,4727,5789,-1737
2725,3532,5677,-1764
2805,2377,5933,-2870
2885,1096,6103,-5247
2965,318,8035,-5553
3045,1314,7655,-3510
3125,3477,5608,56
3205,5733,5832,2624
3285,6392,6782,3855
3365,6041,6883,4515
3445,4965,6913,3815
3525,4189,7414,2959
3605,4067,7562,2313
3685,3668,7588,1576
3765,2466,7737,294
3845,1257,7072,-1799
3925,1692,5687,-4953
4005,2211,6133,-8182
4085,1522,7784,-9697
4165,1175,8486,-9968
4245,808,7285,-7848
4325,91,1824,-2745
4405,-876,-3609,-2832
4485,-1412,-4281,-5221
4565,-1577,-2332,-4456
4645,-2729,-186,-4185
4725,-4436,3514,-4520
4805,-5096,6418,-4966
4884,-4934,7901,-3962
4964,-4944,9352,-2110
5044,-5452,9243,-700
5124,-5800,8210,367
5204,-5758,7062,130
5285,-5653,6757,-177
5364,-5791,6735,-610
5444,-5958,6238,-1367
5524,-5789,5904,-1592
5604,-5769,6021,-1389
5684,-5888,5589,-1107
5764,-5884,4628,-898
5844,-6292,4624,-1194
5924,-6841,5074,-1613
6004,-7216,4968,-1980
6084,-7246,6217,-2262
6164,-6739,8515,-1395
6244,-5845,9066,-154
6324,-3858,8307,767
6404,-2640,6288,676
6484,-5155,3886,-2107
6564,-7532,4918,-4951
6644,-5370,7594,-4271
6724,-1980,7577,-3527
6804,-1560,7664,-5093
6884,-3260,8439,-6403
6964,-3856,5188,-7083
7044,-3041,1614,-7468
7124,-2379,5259,-6665
7204,-2668,8145,-6385
7284,-2709,4069,-7245
7364,-2360,1255,-8227
7444,-2378,1915,-8377
7524,-2437,2385,-7721
7604,-2516,2262,-7578
7684,-2433,2436,-7571
7764,-2275,2491,-7525
7844,-2235,2508,-7512
7924,-2217,2482,-7497
8004,-2123,2590,-7524
8084,-2079,2674,-7563
8164,-2084,2619,-7606
8244,-2121,2688,-7575
8324,-2095,2796,-7527
8404,-2006,2770,-7521
8484,-1999,2698,-7425
8564,-2124,2733,-7440
8644,-2190,2792,-7532
8724,-2170,2725,-7618
8804,-2229,2592,-7683
8884,-2333,2504,-7654
8964,-2408,2455,-7683
9044,-2485,2491,-7671
9124,-2572,2509,-7733
9204,-2622,2431,-7745
9284,-2730,2301,-7401
9364,-2977,1908,-7335
9444,-3032,1399,-7893
9524,-2785,1581,-7931
9604,-2652,1102,-7453
9684,-2625,2109,-6727
9764,-2765,3782,-6627
9844,-4163,2948,-6419
9924,-3244,2858,-6842
10004,-3063,1817,-6493
10164,3588,5188,-7600
10324,-5026,4507,-7794
10404,-6371,3739,-8116
10484,-3394,5054,-7890
10564,-3329,4216,-6188
10644,-3461,4653,-5368
10724,-3634,6719,-6028
10803,-3296,8527,-6592
10883,-3326,7740,-6547
10963,-4869,5887,-6056
11043,-6117,4997,-4709
11123,-6486,4377,-3193
11203,-6752,4404,-1786
11283,-6979,4972,-1147
11363,-6836,5262,-1404
11443,-6540,5721,-2079
11523,-6470,6089,-2163
11603,-6044,5441,-1972
11684,-5684,4243,-2198
11763,-5584,4486,-2586
11843,-5042,5539,-2826
11923,-3858,5595,-2264
12003,-4383,5373,-1063
12083,-6497,4826,-460
12164,-8388,4374,-742
12243,-8706,3788,-1872
12323,-7907,3104,-4048
12403,-8627,3742,-4353
12483,-9561,5773,-3471
12563,-8323,7232,-4255
12644,-5039,6846,-4732
12723,-1202,5461,-4596
12803,980,4423,-4703
12883,1460,4690,-4497
12963,1411,4703,-4528
13043,910,5137,-5688
13123,829,4972,-6587
13203,1253,3742,-6314
13283,1793,2980,-6324
13363,1865,1354,-6815
13443,1463,-62,-7258
13523,1284,-603,-7575
13603,1158,-975,-7885
13683,988,-1550,-8175
13763,977,-1946,-8122
13843,1228,-1892,-7927
13923,1525,-1645,-7870
14003,1449,-1606,-7895
14083,1081,-1844,-7932
14163,842,-2280,-8069
14243,534,-2338,-8013
14323,518,-2279,-7791
14409,1125,-2739,-7840
14483,1289,-2799,-7804
14563,1246,-2409,-7539
14643,1413,-2654,-7416
14723,1261,-3153,-7529
14803,925,-3377,-7761
14883,572,-4105,-8262
14963,-275,-5238,-8377
15043,-1584,-5288,-7414
15123,-1546,-2716,-5803
15203,-171,472,-4728
15283,932,2549,-4696
15362,2377,4585,-4826
15442,3896,6089,-4588
15522,4297,7482,-5459
15602,5116,9396,-7701
15682,6155,9110,-8687
15762,5709,7507,-7259
15842,4084,5565,-5065
15922,568,4360,-4888
16002,260,5788,-5539
16082,2721,6103,-5288
16162,3553,6020,-5068
16242,4069,6186,-4838
16322,4147,5666,-4653
16403,4141,5679,-5037
16482,3916,5737,-5387
16562,3709,5474,-4884
16642,3561,5505,-4555
16722,3757,5732,-4872
16802,4284,6018,-5105
16882,4367,6330,-5077
16962,4329,6032,-5243
17042,4286,5953,-5380
17122,4060,5839,-5282
17202,3682,5077,-5288
17282,3420,4603,-5606
17362,3520,4407,-6028
17442,3627,4153,-6233
17522,3643,4129,-6294
17602,3641,3989,-6366
17682,3717,3685,-6476
17762,3744,3603,-6519
17842,3833,3676,-6505
17922,3867,3693,-6481
18002,3652,3726,-6521
18082,3509,3810,-6565
18162,3587,3644,-6663
18242,3752,3823,-6751
18322,3846,4274,-6562
18402,3668,4159,-6388
18482,3439,3969,-6606
18562,3222,3890,-6750
18642,3026,3904,-6774
18722,3089,4021,-6914
18802,2930,3290,-6979
18882,2796,2437,-6933
18962,2956,2500,-6698
19042,2903,2709,-6674
19122,3176,2934,-7021
19202,3578,3287,-7353
19282,3508,3477,-7321
19362,3211,2977,-6973
19442,2962,2444,-6665
19522,2666,2478,-6368
19602,2759,2904,-6528
19682,3169,3162,-6885
19762,3164,2838,-7085
19842,3153,3046,-7554
19922,3208,3544,-7560
20002,3131,3538,-7127
20082,3044,3730,-6668
20162,2858,3641,-6463
20242,2814,3412,-6675
20322,3263,3536,-6535
20402,3029,3909,-6598
20482,2245,4502,-7634
20562,2776,4855,-8844
20642,3629,4798,-8110
20722,3524,3909,-5863
20802,3475,4809,-4482
20882,3793,4520,-5786
20962,3686,2515,-7956
21042,3678,2639,-8379
21122,3615,3423,-7338
21202,2663,4190,-6485
21281,2382,4991,-6310
21361,3173,4742,-6535
21441,3575,3601,-6922
21521,2850,2812,-7069
21601,2307,2513,-7026
21681,2566,3005,-6792
21761,2678,3261,-6905
21841,2653,3073,-7137
21921,2505,3557,-7246
22001,2308,3705,-7099
22081,2370,3960,-6942
22241,2387,3908,-6920
22321,2646,4228,-7161
22401,2612,4462,-7240
22481,2375,4367,-7131
22561,2188,4314,-6585
22641,1972,4520,-5963
22721,2068,5222,-5793
22801,2335,5933,-5850
22881,2365,6112,-5962
22961,2132,6255,-5818
23041,1775,6245,-5298
23121,1584,6248,-5047
23201,1306,6523,-5041
23281,725,6378,-5466
23361,86,5884,-6099
23441,-263,5149,-6505
23521,-349,4362,-6933
23601,-432,3893,-7765
23681,-121,2727,-8222
23761,-274,1901,-8298
23841,-1029,1943,-8436
23921,-1577,1843,-8321
24001,-2277,3299,-8532
24081,-2236,3782,-8844
24161,-1696,2888,-8212
24241,-1581,2762,-7807
24321,-1613,2652,-8053
24401,-1576,2899,-7989
24481,-1397,2869,-7942
24561,-1357,2556,-7860
24641,-1440,2513,-7890
24721,-1461,2535,-7810
24801,-1446,2811,-7696
24881,-1200,3161,-7967
24961,-1794,3598,-8042
25041,-2071,3665,-8103
25121,-1602,3747,-8242
25201,-1571,3342,-8307
25281,-1087,3827,-8483
25361,-196,5565,-8283
25441,604,5530,-7472
25521,995,4575,-6685
25601,1091,4565,-6744
25681,1691,4568,-6892
25761,2834,3349,-6892
25841,3119,2993,-6978
25921,2099,3178,-6932
26001,735,2444,-6424
26081,-20,1863,-6349
26161,-457,1012,-6955
26241,-1336,-640,-7067
26351,-2267,-2017,-6991
26401,-2744,-3052,-7126
26481,-3240,-4175,-7146
26561,-3915,-5254,-7421
26641,-5280,-5885,-8497
26721,-6856,-4147,-9827
26801,-6079,-2679,-9029
26881,-2079,-1295,-7043
26961,1562,948,-5665
27041,1680,3599,-4672
27121,1557,4724,-4806
27201,2122,3251,-6159
27281,1950,2444,-7524
27361,1870,1709,-7955
27441,1602,966,-8199
27521,1127,133,-8261
27601,871,-299,-8273
27681,1145,-91,-8296
27761,1691,638,-8153
27841,1791,1038,-8044
27921,1377,610,-8036
28001,963,-212,-7998
28081,547,-998,-8074
28161,115,-1543,-8220
28241,-96,-1781,-8203
28321,-246,-1746,-8212
28401,-350,-1722,-8234
28481,-373,-1753,-8201
28561,-323,-1725,-8160
28641,-215,-1644,-8175
28720,40,-1811,-8207
28800,227,-1829,-7779
28880,213,-1914,-7604
28960,257,-2406,-7839
29040,372,-2465,-7769
29120,656,-2074,-7728
29200,1019,-2079,-7862
29280,1265,-2022,-7746
29360,1149,-2132,-7674
29440,1001,-2875,-7932
29520,881,-3375,-7958
29600,782,-3515,-7919
29680,958,-3246,-7883
29760,1023,-3138,-7738
29840,874,-3242,-7646
29920,941,-2898,-7705
30000,1425,-2336,-7758
30080,1471,-2423,-7740
30160,1134,-2541,-7808
30240,1327,-2024,-7943
30320,1792,-1364,-7894
30400,1993,-937,-7906
30480,2044,-662,-7997
30560,2187,-328,-7860
30640,2441,58,-7890
30720,2705,272,-7972
30800,2640,-80,-7977
30880,2294,-765,-8124
30960,1808,-871,-7970
31040,1146,-665,-7489
31120,437,-713,-6564
31200,669,1518,-4553
31280,1401,5675,-2207
31360,1571,7741,65
31440,2137,9380,1475
31520,2145,11416,852
31601,825,11315,-198
31680,-115,10372,12
31760,-536,10572,1049
31840,-1364,10751,799
31920,-1042,10143,-1162
32000,747,8732,-2444
32080,2171,5393,-3247
32160,2776,2402,-4415
32240,1760,1715,-5259
32320,142,2044,-5303
32400,-596,2266,-6057
32480,-198,1968,-7272
32560,723,1641,-7496
32640,1186,2180,-7490
32720,1445,2842,-7231
32800,1728,3064,-6786
32880,2287,4950,-5747
32960,3240,5474,-5368
33040,3744,6009,-5473
33120,4039,6634,-5488
33200,3937,6737,-5281
33280,3762,6743,-5159
33360,3637,6703,-5025
33440,3647,6974,-4732
33520,3788,7383,-4630
33600,3734,7018,-4975
33680,3427,5994,-5494
33760,3139,4756,-6010
33840,2766,3488,-6131
33920,2139,1906,-6264
34000,1506,187,-6676
34080,937,-1332,-7013
34160,620,-2656,-7410
34240,421,-3435,-7552
34320,64,-4021,-7576
34400,-358,-4635,-7604
34479,-641,-4751,-7421
34560,-782,-4540,-7318
34639,-745,-4596,-7279
34719,-531,-4562,-7226
34799,-500,-4563,-7227
34879,-477,-4547,-7348
34959,-398,-4342,-7438
35039,-395,-4418,-7523
35119,-231,-4479,-7699
35199,-258,-4260,-7499
35279,-108,-3432,-7406
35359,910,-1928,-7302
35439,1940,-654,-6656
35519,2292,444,-5937
35599,2516,2134,-4842
35679,2851,4280,-3776
35759,3281,5990,-3236
35839,3890,7837,-3147
35919,4055,9698,-3959
35999,4090,10899,-4406
36079,4285,11057,-4622
36160,4393,10175,-4766
36239,4393,8781,-4390
36325,3854,6466,-4316
36399,2869,4174,-4564
36479,1163,2576,-5192
36559,-444,1259,-6176
36669,-459,-1336,-7062
36719,472,-2282,-7689
36799,1343,-683,-8049
36879,1954,302,-8081
36959,2435,1120,-8044
37039,2574,1860,-7865
37119,2314,1566,-7722
37199,2134,-288,-8005
37279,1981,-879,-8171
37359,1585,-293,-8044
37439,1563,-156,-7907
37519,1835,44,-7980
37599,1620,-127,-8168
37679,1323,-471,-8222
37759,1296,-546,-8212
37839,1283,-624,-8123
37919,1354,-754,-8252
37999,1575,-593,-8389
38079,1567,-817,-8461
38159,1563,-862,-8281
38239,1587,-686,-7967
38319,1572,-826,-8068
38399,1625,-686,-8303
38479,1675,-570,-8327
38559,1801,-686,-8347
38639,1724,-826,-8433
38719,1568,-772,-8396
38799,1453,-806,-8379
38879,1365,-678,-8277
38959,1196,-319,-8401
39039,912,-58,-8800
39119,762,269,-8601
39199,693,448,-8253
39279,814,1043,-8227
39359,1015,1748,-8129
39439,1050,2000,-8041
39519,903,2416,-8154
39599,604,2635,-8096
39679,440,2823,-7718
39759,551,3722,-7363
39839,594,4099,-7095
39919,571,3856,-6722
39999,826,4169,-5831
40079,1098,5220,-4903
40159,1285,6650,-4180
40239,1619,7496,-3331
40319,1810,7831,-2593
40399,2095,8559,-1839
40479,2287,9343,-1488
40559,2215,9555,-1734
40639,2053,9713,-2608
40718,1158,9693,-2956
40798,843,8497,-3195
40878,1507,6880,-3828
40958,1339,6357,-4362
41038,714,5917,-6019
41118,303,4968,-7236
41198,-264,4330,-7445
41278,-614,4954,-8149
41358,-351,5229,-8050
41438,198,5219,-7697
41518,1343,6137,-7652
41598,3073,5686,-6726
41678,3811,4066,-5867
41758,3241,3021,-5825
41838,2463,2619,-6207
41918,1512,2380,-6188
41998,155,1356,-6701
42078,324,647,-6965
42158,1479,1435,-7012
42238,1923,2110,-7469
42318,2114,2356,-7400
42398,2125,2420,-7317
42478,2105,2620,-6962
42558,2352,3141,-6498
42638,2902,3768,-6452
42718,3424,4154,-5763
42878,3585,5486,-4797
42958,3606,6236,-4147
43038,3666,6714,-3836
43118,3609,7253,-4169
43199,3361,8349,-4939
43278,3424,8963,-5606
43358,3761,8558,-5771
43438,4149,7771,-5575
43518,4185,6712,-5108
43598,3313,5433,-4173
43678,1165,4264,-4335
43758,1649,4522,-5281
43838,3172,5778,-4911
43918,3080,6714,-3672
43998,3959,7535,-2752
44078,4071,7627,-1990
44158,3422,7824,-952
44238,3231,8607,-460
44318,2945,9271,-153
44398,1898,9624,101
44478,856,9463,262
44558,488,9004,713
44638,437,8500,1214
44718,455,8325,1678
44798,370,8081,2091
44878,254,7967,2412
44958,370,8102,2501
45038,433,7994,2406
45118,411,7926,2319
45198,366,8083,2228
45278,320,8224,2279
45358,290,8256,2226
45438,114,8373,1842
45518,24,8803,1399
45598,254,8961,1021
45678,703,8822,837
45758,1229,8620,657
45838,1576,8073,266
45918,1576,7955,-343
45998,1610,8343,-1328
46078,1985,8781,-2410
46158,2646,9309,-3282
46238,3749,9471,-3954
46318,4528,8923,-4019
46397,4037,7702,-3905
46478,3133,5263,-3825
46557,2541,2896,-4044
46643,2223,1485,-4625
46717,1570,-283,-5306
46797,3,-1884,-5734
46877,-1779,-3280,-5780
46957,-2662,-5255,-5836
47037,-3184,-6662,-6024
47117,-3923,-6251,-6333
47197,-3969,-4881,-6623
47277,-3281,-3833,-6835
47357,-2636,-2746,-6772
47437,-2267,-1386,-6990
47517,-2112,-402,-7783
47597,-1809,391,-8640
47677,-908,1144,-9013
47757,-2,1564,-8838
47837,310,1837,-8466
47917,21,2050,-8386
47997,-498,1722,-8315
48077,-613,1364,-7923
48157,-846,1599,-8124
48237,-1082,1273,-8355
48317,-1022,754,-7822
48397,-1361,1109,-7625
48477,-1843,1753,-7627
48557,-2725,1865,-7696
48637,-2847,2951,-7745
48717,-2485,3482,-7478
48797,-3187,2450,-6132
48877,123,3300,-6444
48957,2691,2467,-8271
49037,2626,3155,-11472
49117,2074,3749,-12247
49197,-61,2728,-9791
49277,-503,4737,-9226
49357,-197,6442,-9150
49437,868,6759,-8560
49517,2518,5335,-7243
49597,3338,3476,-6176
49677,2227,2857,-5790
49757,437,2030,-5942
49837,660,1167,-5980
49917,2327,1592,-6296
49997,3258,2106,-6529
50077,3718,2269,-6484
50157,4001,2208,-6753
50237,4064,2462,-7126
50317,4051,2777,-7198
50397,3985,2821,-7120
50477,3724,2807,-7041
50557,3363,2955,-7056
50637,3084,2904,-7045
50717,3107,2735,-6844
50797,3340,2690,-6853
50877,3662,3122,-6865
50957,3907,4041,-6794
51036,3978,4794,-6864
51116,3883,5076,-6913
51196,3676,5097,-6731
51276,3750,4962,-6527
51356,3743,4557,-6483
51436,3295,4283,-6462
51516,2984,4198,-6547
51596,2975,4363,-6595
51676,3219,4662,-6352
51756,3290,4588,-6051
51836,3075,4485,-6090
51916,3146,4574,-6219
51996,3349,4880,-6235
52156,3315,5598,-5533
52236,3002,5374,-5507
52316,2779,5390,-5418
52396,2828,5747,-5616
52476,2501,6025,-5870
52556,2144,6180,-5929
52636,2062,6184,-5879
52716,1905,6306,-5771
52796,1703,6533,-5703
52876,1567,6503,-5672
52956,1563,6548,-5358
53036,1724,6885,-4862
53116,1670,7136,-4622
53196,1313,7219,-4510
53276,984,7386,-4219
53356,873,7549,-3947
53436,898,7659,-3879
53516,704,7779,-3856
53596,427,7954,-3897
53676,221,8241,-3976
53756,-277,8255,-4397
53836,-1209,7527,-5498
53916,-1909,6454,-6507
53996,-1911,5347,-6661
54076,-1758,5147,-6358
54156,-2250,5173,-6156
54236,-2360,4399,-6950
54316,-1541,3501,-8166
54396,45,4551,-8254
54476,836,5595,-7263
54556,1325,5544,-6339
54636,392,6246,-6472
54716,-394,6505,-5065
54796,1853,5371,-2685
54876,-677,6934,-6826
54956,-2643,8901,-10482
55036,-153,7479,-8566
55116,146,6969,-7442
55196,311,6671,-6542
55276,1037,5773,-5773
55356,1145,5396,-5824
55436,1196,5460,-6291
55516,1159,5489,-6527
55596,972,5708,-6542
55676,986,6220,-6533
55756,1309,6664,-6519
55836,1656,6947,-6428
55916,2066,7336,-5856
55996,2095,7466,-5188
56076,1980,6929,-4868
56156,1995,5714,-5026
56236,1558,4780,-5646
56316,1320,3968,-6226
56396,1499,3052,-6590
56476,1788,2505,-6956
56556,1837,2105,-7263
56636,1629,1893,-7364
56716,1515,1179,-7368
56796,1249,-101,-7857
56876,869,-689,-8444
56956,674,-682,-8316
57035,464,-978,-8017
57115,92,-1329,-7793
57196,-362,-1681,-7713
57275,-669,-2452,-7787
57355,-974,-3041,-7404
57435,-1466,-3444,-7037
57515,-1978,-4033,-7028
57595,-2566,-4855,-7016
57675,-3251,-5289,-7317
57755,-4116,-4706,-7927
57835,-4801,-3554,-8536
57915,-4540,-2232,-8606
57995,-3061,-992,-7828
58075,-647,-141,-6534
58155,1000,503,-6102
58235,1265,2231,-6362
58315,1678,3557,-6372
58395,2307,3347,-6351
58475,2429,3343,-7263
58555,2332,3521,-8073
58635,2210,3194,-7784
58715,2068,2879,-7676
58795,2053,2809,-7702
58875,2157,2776,-7637
58955,2333,2787,-7658
59035,2518,2911,-7693
59115,2570,2944,-7616
59195,2492,2788,-7623
59275,2413,2715,-7668
59355,2393,2843,-7553
59435,2426,2988,-7457
59515,2485,3039,-7497
59595,2555,3029,-7550
59675,2664,2964,-7506
59755,2681,2934,-7477
59835,2595,2843,-7498
59915,2571,2579,-7585
59995,2467,2276,-7676
60075,2264,1734,-7762
60155,2110,1139,-7768
60235,2047,538,-7744
60315,1830,-221,-7691
60395,1361,-779,-7657
60475,861,-1237,-7778
60555,278,-1979,-7749
60635,-233,-2813,-7574
60715,-668,-3397,-7296
60795,-1162,-3884,-6936
60875,-1605,-4529,-6716
60955,-2222,-5077,-6460
61035,-2902,-5837,-5670
61195,-3831,-5948,-5354
61275,-3934,-5551,-5142
61355,-3906,-5776,-5068
61435,-3901,-5890,-5043
61515,-3907,-5882,-5142
61595,-3919,-6733,-5606
61675,-3950,-7411,-5959
61755,-4041,-6712,-5527
61835,-3947,-5762,-5239
61915,-3638,-5311,-5950
61995,-3050,-4067,-6120
62075,-1947,-1797,-5251
62155,-597,474,-3898
62235,1032,2627,-1680
62315,2834,5057,362
62395,3631,7744,154
62475,3849,10551,-678
62555,3020,15070,-1074
62635,-448,16153,-3496
62715,-1221,7428,-3721
62825,1202,-1346,-718
62875,-622,-2636,-290
62955,-7408,-984,-3993
63035,-6209,2561,-5276
63115,-82,4590,-3628
63195,1528,5246,-3534
63275,3219,7320,-3525
63355,4323,8236,-3349
63435,4385,8517,-3285
63515,4269,8854,-3357
63595,4155,8900,-2998
63675,3991,8511,-2489
63755,3983,8407,-2508
63835,3937,8247,-2500
63915,3676,7626,-2188
63995,3537,7063,-2410
64075,3609,6732,-2932
64155,3677,6578,-3449
64234,3606,6310,-3878
64315,3581,5792,-4163
64394,3552,5465,-4663
64474,3505,5108,-5042
64554,3543,4907,-5330
64634,3458,5053,-5609
64714,3410,5009,-5662
64794,3362,4929,-5763
64874,3314,4815,-5819
64954,3206,4822,-5914
65034,3096,4739,-6128
65114,2933,4641,-6348
65194,2713,4502,-6536
65274,2448,4248,-6581
65354,2127,4079,-6662
65434,1987,4205,-6802
65514,1955,4665,-7021
65594,1949,4692,-7055
65674,1929,4705,-6712
65754,1715,4958,-6629
65834,1222,5136,-6710
65914,694,5031,-6850
65994,200,4922,-7103
66074,336,5094,-7691
66154,656,4645,-7973
66234,481,4281,-7456
66314,211,4265,-6967
66394,-110,3907,-7038
66474,-431,3365,-7404
66554,-206,3121,-7857
66634,369,3605,-8632
66714,756,4309,-9146
66794,254,4150,-8609
66874,-910,3325,-7394
66954,-2410,2607,-7639
67034,-3323,2733,-8914
67114,-2587,3560,-8979
67194,-1587,4305,-8301
67274,-762,4294,-7669
67354,92,3801,-7066
67434,627,3675,-7016
67514,561,3513,-7693
67594,573,3805,-7949
67674,938,4128,-7820
67754,1193,3972,-7572
67834,902,3814,-6962
67914,963,4825,-5439
67994,1648,6730,-4122
68074,1789,7269,-3978
68154,1752,7230,-3980
68234,1897,7348,-3869
68314,2076,7258,-3655
68394,2151,7387,-3444
68474,2151,7558,-3038
68554,2092,7544,-2696
68634,1961,7708,-2613
68714,1892,7887,-2420
68794,1851,7954,-2151
68874,1713,8061,-1863
68954,1571,8197,-1516
69034,1650,8713,-1397
69114,1585,8945,-1093
69194,1144,8729,-679
69274,845,8679,-357
69354,706,8707,-319
69434,700,8985,-514
69514,818,9183,-554
69594,1171,9446,-1050
69674,1823,9509,-2059
69754,2289,8838,-2990
69834,2600,8141,-3775
69914,2711,6526,-4201
69994,2165,4945,-4553
70074,963,4062,-5417
70234,2173,4984,-6480
70314,2230,4841,-6606
70393,2282,5004,-6622
70473,2400,4935,-6536
70553,2515,4766,-6470
70633,2603,4722,-6465
70713,2704,4770,-6454
70793,2785,4809,-6329
70873,2823,4802,-6203
70953,2900,4875,-6152
71033,3021,4816,-6214
71113,3070,4711,-6243
71193,3075,4722,-6197
71273,3163,4812,-6243
71354,3135,4914,-6274
71433,2995,4996,-6228
71513,2912,5043,-6241
71593,2925,4774,-6290
71673,3025,4769,-6312
71753,2926,4979,-6425
71833,2863,4694,-6342
71913,2910,4364,-6285
71993,2787,4397,-6379
72073,2704,4354,-6286
72153,2648,4367,-6310
72233,2793,4639,-6485
72313,3023,4739,-6455
72393,3087,4786,-6304
72473,3083,4851,-6063
72553,3064,4992,-5899
72633,2834,5152,-5866
72713,2897,5722,-5474
72799,3439,6260,-5112
72873,3632,6546,-5200
72953,3431,6799,-5189
73033,3312,6814,-4911
73113,3265,6565,-4790
73193,3345,6372,-4426
73273,3485,6427,-4035
73353,3431,6402,-4006
73433,3346,6501,-3992
73513,3212,6598,-3824
73593,3065,6729,-3694
73673,3141,7038,-3753
73753,3228,7429,-3627
73833,2953,7757,-3474
73913,2764,7619,-3095
73993,2685,7538,-2688
74073,2622,7799,-2430
74153,2636,8297,-2062
74233,2445,8563,-1771
74313,2237,8448,-1609
74393,2004,8164,-1295
74473,1579,7775,-738
74553,1347,7944,-419
74633,1358,8441,-245
74713,1090,9236,-395
