Time (ms),X,Y,Z
85,-372,-445,-8472
166,-502,-406,-8423
245,-589,-388,-8374
325,-604,-277,-8300
405,-722,-311,-8266
485,-896,-335,-8352
565,-986,-312,-8384
645,-925,-370,-8297
725,-786,-303,-8316
805,-730,-203,-8324
885,-789,-285,-8320
965,-833,-391,-8301
1045,-854,-330,-8266
1125,-872,-208,-8327
1205,-872,-227,-8364
1285,-1240,-723,-8347
1365,-2290,-1193,-8373
1445,-3472,-1216,-8496
1525,-3169,-1013,-8503
1605,-1175,328,-8677
1688,848,1371,-8177
1765,1023,1072,-7142
1845,-748,1881,-9348
1925,-1156,1601,-10352
2005,600,-519,-8044
2085,1283,-466,-7651
2165,-285,805,-7417
2245,1246,-1181,-10869
2325,2361,-3012,-14220
2405,294,-2491,-11846
2485,-72,-1924,-9945
2565,-311,-584,-9990
2645,-304,-172,-9413
2725,135,-843,-7794
2805,50,-1787,-6749
2885,-399,-2800,-6535
2965,-1036,-3229,-6803
3045,-1572,-3361,-6953
3125,-1822,-3610,-6895
3205,-2101,-3684,-6953
3284,-2188,-3487,-7092
3364,-2066,-4062,-7182
3444,-2070,-4347,-7215
3524,-2046,-3771,-7222
3604,-1974,-3546,-7319
3688,-1924,-3466,-7339
3764,-1918,-3497,-7289
3844,-1881,-3512,-7222
3924,-1770,-3484,-7149
4005,-1709,-3480,-7200
4084,-1690,-3358,-7249
4164,-2116,-3139,-7110
4244,-2801,-3900,-6490
4324,-2464,-3597,-6500
4405,-1188,-365,-7589
4484,-235,1612,-7729
4564,-1267,2799,-7718
4644,-809,4932,-7696
4724,174,4714,-6524
4804,384,4066,-5858
4884,3692,6035,-6239
4964,-144,5365,-8569
5044,-2753,6991,-10167
5124,121,9321,-8957
5204,-1331,5881,-7881
5284,-2017,4414,-7020
5365,-1483,5284,-6115
5444,-337,6560,-5736
5524,43,7847,-6515
5604,-1623,7602,-6665
5688,-3520,6983,-5130
5764,-4370,7336,-4166
5844,-4869,7184,-3717
5924,-4990,6404,-3183
6004,-4885,6049,-2695
6084,-5101,6328,-2314
6164,-5278,6305,-2144
6244,-5326,5918,-2227
6324,-5545,5669,-2488
6404,-4640,6245,-2892
6484,-4217,6624,-3157
6564,-3952,6476,-2981
6644,-3333,6715,-2669
6724,-3770,6715,-2361
6804,-4213,6451,-1799
6884,-4403,6293,-1478
6964,-4423,6476,-1806
7044,-4646,6587,-1643
7124,-4502,6587,-1063
7204,-4751,6314,-1075
