Time (ms),X,Y,Z
85,-2326,1429,-7864
165,-2404,1373,-7857
246,-2526,1406,-7795
325,-2523,1482,-7809
405,-2505,1449,-7772
485,-2539,1399,-7746
565,-2572,1384,-7811
645,-2613,1395,-7799
725,-2632,1433,-7776
805,-2615,1503,-7757
885,-2624,1535,-7748
1045,-3406,1456,-7616
1125,-4094,1104,-7238
1205,-4407,862,-6738
1285,-4664,758,-6547
1365,-3460,1581,-6407
1445,-2225,3416,-5778
1530,-2511,4579,-5613
1605,-3711,4942,-6185
1686,-5296,5163,-6784
1765,-6308,5496,-7218
1845,-5926,5361,-7130
1925,-4698,4598,-6226
2005,-2981,3363,-4131
2085,-1685,3419,-2283
2165,-2481,4751,-2241
2245,-4406,5176,-3237
2325,-5902,5511,-4300
2405,-7043,6290,-4659
2485,-6927,5954,-5500
2565,-7009,4763,-5603
2645,-5962,3448,-3934
2725,-4108,2801,-3301
2805,-3808,4736,-3519
2885,-3607,6245,-3569
2965,-3702,6086,-3652
3045,-3729,5730,-2956
3125,-5048,5872,-2435
3205,-6884,7090,-3550
3285,-7296,6139,-5129
3365,-6848,4209,-5737
3445,-6272,3634,-5286
3530,-6012,2359,-4786
3605,-5950,782,-5142
3685,-6033,465,-5547
3765,-6302,2443,-5795
3845,-6521,5620,-5646
3925,-5915,6538,-4364
4005,-4069,5335,-3485
4085,-2713,4586,-3305
4165,-2935,6320,-2009
4245,-2910,7650,-2686
4325,-2173,8065,-3215
4405,-1556,9018,-2027
4485,-1558,8635,-2472
4565,-1508,8729,-1783
4645,-1143,8415,-1188
4725,-1314,7422,-2371
4804,-1702,6678,-3904
4884,-1900,6100,-4850
4964,-2009,6206,-5163
5044,-2009,6265,-5257
5124,-1991,6309,-5250
5204,-2069,6244,-5512
5284,-2173,5787,-5702
5364,-2376,5377,-5680
5444,-2419,5758,-6045
5529,-2115,5859,-6062
5604,-2084,6427,-5360
5684,-2249,7520,-4778
5764,-2120,5997,-5787
5844,-1950,5185,-6752
5924,-1162,6121,-6246
6004,-86,6362,-5908
6084,-216,5927,-6117
6164,-1224,4760,-6249
6244,-1617,4633,-5636
6324,-1083,5838,-5060
6404,-527,7092,-4919
6484,-336,7421,-5127
6564,-187,7207,-5505
6644,-143,7192,-5562
6724,-208,7151,-5256
6804,-187,7055,-5053
6884,-75,7062,-4976
6964,71,6962,-4889
7044,302,6899,-4891
7124,614,6912,-5003
7204,914,6858,-5089
7364,1165,6808,-5044
7444,1426,6912,-4912
7529,1873,6952,-4697
7604,2457,6519,-4126
7684,2952,6205,-3519
7764,2593,6307,-3774
7844,735,6414,-4430
7924,-652,6797,-4719
8004,494,7548,-5085
8084,1737,8342,-5102
8164,1659,8448,-4375
8244,1580,7890,-3225
8324,1561,7947,-2083
8404,1714,8536,-1823
8484,2119,8145,-2061
8564,2213,7698,-2445
8644,2197,8122,-2820
8724,2907,8251,-2790
8804,3665,8046,-2802
8884,6469,8284,-3413
8964,8648,9120,-3673
9044,7555,8460,-3000
9124,5739,5796,-2106
9204,2407,5074,-2637
9284,709,6036,-3951
9364,-7,7517,-5692
9444,69,8908,-5718
9524,1966,7875,-2673
9604,3662,6701,283
9684,5571,7230,1022
9764,6094,7587,889
9844,4981,6729,1894
9924,2848,7567,2225
10004,803,8402,1612
10089,1515,7083,182
10163,3315,5614,-2757
10243,3121,3982,-6415
10323,2177,2794,-8343
10403,746,3034,-9183
10483,-143,3761,-8635
10563,-106,-238,-5220
10675,-1659,-3196,-4303
10723,-2145,-674,-4754
10803,-1124,990,-3837
10883,-2416,1398,-4195
10963,-4368,2964,-4866
11043,-5252,6776,-4223
11123,-5639,9749,-2659
11203,-5896,8984,-1861
11283,-6195,7056,-1319
11363,-6164,6182,-562
11443,-5996,5237,243
11523,-5985,5001,329
11603,-5502,4242,19
11683,-5346,2113,-339
11763,-6476,1555,-976
11843,-8387,3805,-1973
11923,-9193,5418,-3053
12003,-7408,4446,-2523
12083,-4654,4991,-295
12164,-3541,6757,2016
12243,-3765,7443,2880
12323,-4177,7926,2156
12403,-4668,7792,-4927
12483,-4581,6688,-8494
12563,-3498,6711,-4608
12643,-6332,4443,-2574
12723,-9549,-2208,-1967
12803,-7318,-1749,-2947
12884,-4894,3818,-3097
12963,-4148,5920,-2364
13043,-4270,5849,-2014
13123,-4284,5364,-1834
13203,-3932,6512,-1502
13283,-3828,6894,-793
13363,-4266,6756,-829
13443,-4872,6444,-1597
13603,-5333,5325,-1571
13683,-5821,4854,-1576
13763,-6621,5139,-1997
13843,-6926,5118,-1988
