Time (ms),X,Y,Z
85,338,-5829,-5755
165,337,-5852,-5758
245,346,-5855,-5742
325,384,-5890,-5700
405,435,-5915,-5612
485,460,-5884,-5614
565,480,-5904,-5640
645,472,-5921,-5610
725,460,-5912,-5622
805,462,-5908,-5618
885,464,-5949,-5574
965,473,-5959,-5562
1045,443,-5930,-5616
1125,420,-5942,-5676
1205,487,-5922,-5695
1285,483,-5904,-5695
1365,422,-5956,-5730
1445,376,-5946,-5780
1525,543,-5958,-5718
1605,612,-5921,-5689
1685,440,-5776,-5735
1765,282,-5785,-5842
1845,107,-5883,-5926
1925,42,-5860,-5914
2005,80,-5867,-5866
2085,148,-5938,-5775
2165,206,-5903,-5699
2245,319,-5904,-5680
2325,388,-5887,-5688
2405,241,-5905,-5684
2485,-32,-5956,-5682
2565,-236,-5895,-5732
2645,-238,-5857,-5738
2725,-393,-5780,-5664
2805,-687,-5701,-5775
2885,-747,-5665,-5954
2965,-639,-5656,-6030
3045,-451,-5669,-6022
3125,-296,-5692,-5959
3205,-130,-5831,-5964
3285,-223,-5870,-5949
3365,-496,-5778,-5865
3445,-539,-5786,-5775
3525,-558,-5798,-5784
3605,-542,-5812,-5754
3765,-594,-5810,-5723
3925,-1251,-5056,-6073
4005,-976,-5014,-5932
4085,-839,-5191,-5831
4165,-810,-5341,-5879
4245,-984,-5087,-6003
4325,-1398,-4883,-6121
4405,-1762,-4993,-6466
4485,-2034,-4788,-7028
4565,-2144,-4359,-7419
4645,-1947,-4091,-7421
4725,-1489,-4026,-7414
4805,-1070,-4021,-7411
4885,-960,-3984,-7298
4965,-917,-3899,-7365
5045,-863,-3910,-7260
5125,-812,-3933,-7134
5204,-788,-3875,-7271
5284,-820,-3865,-7139
5364,-801,-3895,-6992
5444,-826,-3994,-6966
5524,-949,-4220,-6775
5604,-997,-4504,-6694
5684,-909,-4645,-6716
5764,-1115,-4668,-6837
5844,-1416,-4713,-6920
5924,-1711,-4615,-6762
6004,-2189,-4526,-6748
6084,-2549,-4630,-6733
6164,-2837,-5234,-6709
6244,-3090,-6096,-7073
6324,-3276,-5029,-7636
6405,-2331,-2013,-7804
6484,-216,615,-6978
6564,1795,2318,-5884
6644,3297,3455,-4827
6724,4373,4326,-3745
6804,5113,5125,-3266
6884,5468,5507,-2701
6964,5667,5522,-2224
7044,5682,5393,-2181
7124,5613,5332,-2118
7204,5649,5620,-2004
7284,5717,5669,-1993
7364,5869,5632,-2372
7444,5973,5854,-2396
7524,6244,5829,-1997
7604,6311,5826,-2169
7684,5821,5740,-2429
7764,5498,5349,-2431
7844,5348,5355,-2858
7924,4979,4768,-3834
8004,4679,3376,-5109
8084,4505,2556,-6063
8164,4355,1994,-6473
8324,4311,2339,-6801
8404,4632,3012,-6579
8484,4901,3257,-5664
8564,5121,3850,-4605
8644,5582,4297,-3471
8724,5788,4736,-2771
8804,5774,5018,-2282
8884,5733,5166,-1841
8964,5807,5227,-1396
9044,6005,5272,-1001
9124,6173,5404,-996
9204,6226,5586,-1301
9341,6114,5371,-1588
9385,5755,4750,-2465
9444,5553,4990,-3216
9524,5613,5000,-3685
9604,5188,3877,-4476
9684,4656,2884,-5315
9764,4733,1481,-5706
9844,4855,-240,-5743
9924,4835,-906,-6239
10004,4689,-1277,-6556
10084,4484,-1894,-6336
10164,4294,-2096,-6319
10244,4078,-1874,-6712
10324,3951,-1694,-7237
10404,3943,-1064,-7636
10484,3820,195,-7420
10564,3865,1943,-6389
10644,4415,3511,-4567
10724,4766,4583,-2958
10804,4836,5510,-1892
10884,4885,6061,-1027
10964,5062,6558,-684
11044,5349,7037,-968
11124,5458,7226,-1211
11203,5406,6725,-1641
11284,5399,6124,-1841
11363,5472,6024,-1593
11443,5370,6054,-1614
11523,5152,6418,-1538
11603,5093,6588,-1306
11683,5116,6436,-1506
11763,5007,6348,-2137
11843,4854,6094,-2807
11923,4758,5395,-3529
12003,4507,4787,-4566
12083,4467,4692,-5177
12163,4107,4732,-5172
12243,4067,4657,-5221
12323,4809,4204,-5099
12403,5659,3258,-5024
12483,6004,3047,-5212
12564,5498,2873,-5223
12643,5246,2441,-5398
12723,5111,1881,-5959
12803,4749,698,-6382
12883,4504,308,-6724
13043,4414,255,-6995
13123,4288,-188,-6788
13203,4408,-284,-6581
13283,4771,516,-6263
13363,4770,1179,-5952
13443,4641,1506,-6131
13523,4581,1829,-6514
13603,4357,1203,-6761
13683,4269,288,-6841
13763,4245,24,-6853
13843,4234,-203,-6654
13923,4340,306,-6689
14003,4492,1662,-6509
14083,4682,2978,-5708
14163,4891,3754,-4864
14243,4945,4500,-4198
14323,4433,4413,-3614
14403,4083,4218,-2744
14483,4355,5331,-1834
14563,4456,6465,-813
14643,4367,7173,389
14723,4257,7222,780
14803,4163,6902,586
14883,4119,6950,623
14963,4013,7186,966
15043,3878,7415,1262
15123,3807,7599,1272
15203,3731,7668,1447
15283,3679,7751,1657
15363,3680,7722,1542
15443,3689,7503,1573
15523,3770,7443,1562
15603,3816,7476,1531
15683,3761,7312,1671
15763,3752,7081,1676
15843,3705,6991,1568
15923,3649,7239,1619
16003,3640,7312,1626
16083,3551,7303,1647
16163,3535,7461,1400
16243,3706,7664,1379
16323,3761,7365,1617
16403,3803,6799,1429
16483,4003,7209,1546
16563,4130,7845,2028
16643,4249,7603,2159
16723,4475,6654,1835
16803,4845,5698,1539
16883,5410,5287,863
16963,5845,5428,-109
17043,6047,5229,-375
17122,6236,4889,-132
17203,6460,5362,-147
17282,6667,5207,-256
17362,6542,4828,-709
17442,6270,4539,-1193
17602,6468,4226,-1453
17682,6739,4421,-1600
