Time (ms),X,Y,Z
85,-488,-4049,-7440
165,-360,-4102,-7353
246,-284,-4084,-7338
325,-239,-4033,-7347
405,-227,-4069,-7310
485,-179,-4026,-7352
565,-80,-3861,-7405
645,-42,-3801,-7388
725,-67,-3815,-7328
805,26,-3764,-7312
885,76,-3867,-7259
965,48,-3846,-7379
1045,27,-3820,-7435
1125,-60,-3901,-7444
1205,-203,-3563,-7748
1285,-705,-2637,-7795
1366,-1256,-2436,-7399
1445,-906,-2957,-7376
1525,187,-2713,-7681
1605,1611,-1447,-7627
1685,2864,364,-7414
1765,3500,1652,-7546
1845,3566,2109,-7590
1925,3085,2228,-7371
2005,2587,2300,-7483
2085,2756,2616,-7833
2165,3501,3224,-7553
2245,3891,3764,-7260
2325,3851,4144,-6594
2405,3465,4432,-5592
2485,3037,4916,-4937
2565,2778,5714,-4606
2645,2512,6257,-4528
2725,2568,6920,-3886
2805,2832,7212,-2980
2885,2913,7212,-1926
2965,2549,7784,-760
3044,2149,7940,364
3124,2151,7944,1640
3204,2074,8321,3072
3284,1988,8310,4235
3366,2024,7826,4470
3444,2092,7191,4076
3524,2218,6997,4037
3604,2182,7325,4121
3684,2226,7452,4076
3764,2400,7179,3892
3844,2660,7162,3499
3924,2679,7393,3281
4004,2347,7424,3112
4084,2038,7362,2811
4164,1928,7375,2815
4244,1996,7518,3057
4324,2096,7636,2990
4404,2040,7606,2677
4484,1946,7463,2531
4564,1962,7449,2634
4644,1707,7397,2627
4724,1552,7179,2627
4804,1633,7222,2585
4884,1688,7122,2795
4964,1730,7153,2919
5044,1750,7312,3293
5124,1572,8975,3297
5204,1190,10792,2606
5284,1882,9692,1004
5366,3059,7506,-802
5444,2951,6973,-2771
5524,2089,5871,-4638
5604,1183,4238,-5756
5684,863,3605,-7105
5764,1090,3011,-7521
5844,1076,2725,-7596
5924,1010,2857,-7920
6004,1167,2875,-7927
6084,1223,2807,-7921
6164,976,3108,-7910
6244,656,3044,-7666
6324,387,2817,-7885
6404,800,3412,-8294
6484,1649,4091,-7930
6564,1627,4014,-7479
6644,413,2322,-6585
6724,598,1619,-6117
6804,1734,2435,-6787
6884,1376,1936,-7671
6964,1525,3325,-8485
7044,1655,4357,-8498
7124,263,2977,-8205
7204,520,3606,-6778
7284,2415,5377,-4995
7366,3043,6031,-4590
7444,2636,6072,-5093
7524,2292,6211,-5600
7604,2277,6352,-5709
7684,2338,6204,-5555
7764,2273,5965,-5560
7844,2353,6263,-5562
7924,2724,6257,-5136
8004,2743,5733,-5100
8084,2299,5754,-5365
8164,1819,5883,-5429
8244,1604,5601,-5817
8324,1418,5829,-6143
8404,1425,5943,-6304
8484,1531,5151,-6831
8564,1384,4517,-7009
8644,2214,5103,-6451
8724,2352,5392,-6669
8804,2236,5151,-6831
8884,2285,4808,-6992
8964,2308,4494,-7255
9044,1268,3741,-7522
9124,434,3074,-7434
9203,1240,3310,-7060
9283,2290,4265,-7150
9366,2088,4369,-7661
9443,1456,3640,-7797
9523,1784,3215,-7664
9603,2860,3059,-7346
9683,4113,3286,-6797
9763,4560,3998,-6378
9843,3411,3886,-5637
9923,1638,3833,-5572
10009,393,4723,-6533
10083,127,4454,-7160
10163,328,3150,-7282
10243,174,3337,-7202
10323,9,4311,-6789
10403,-291,4724,-6050
10483,-627,5710,-5099
10563,-536,6836,-3759
10643,-67,7292,-2246
10723,570,7821,-1029
10803,851,8307,-316
10883,913,8243,7
10963,831,8316,-123
11043,614,8794,338
11123,717,8940,1132
11203,919,8803,1068
11283,1022,9730,415
11363,865,9598,-1947
11443,365,7786,-4279
11523,508,6728,-4495
11603,1599,5611,-4340
11683,2449,4510,-5010
11763,2512,4141,-6015
11843,1961,3576,-7106
11923,944,3142,-8179
12003,163,3051,-8508
12083,98,3598,-8619
12163,545,3870,-8483
12243,899,3168,-7882
12323,168,2013,-7507
12403,-626,1500,-7025
12483,157,4367,-6938
12563,632,4962,-7178
12643,828,4830,-7162
12723,775,4820,-7189
12803,775,4585,-6911
12883,818,4552,-6807
12963,804,4887,-6750
13043,712,5154,-6698
13123,644,5193,-6725
13203,637,5023,-6472
13283,591,5072,-6269
13363,459,5138,-6397
13443,338,5134,-6755
13523,299,5329,-6922
13603,280,5215,-6684
13682,263,5187,-6591
13762,263,5166,-6606
13842,357,5105,-6511
13922,478,5282,-6398
14002,552,5389,-6269
14082,560,5431,-6175
14162,547,5527,-6139
14242,575,5700,-6114
14322,614,5832,-6119
14402,666,5902,-6190
14482,707,5909,-6104
14562,727,5955,-6029
14642,736,5977,-6071
14722,749,5927,-6006
14802,772,5938,-5890
14882,748,5960,-5921
14962,737,5911,-5961
