Time (ms),X,Y,Z
85,221,-562,-8521
165,218,-503,-8420
246,115,-553,-8365
325,32,-619,-8356
405,-6,-709,-8335
485,-16,-709,-8350
565,-20,-691,-8366
645,-48,-743,-8305
725,-78,-724,-8251
805,-67,-647,-8269
885,-87,-637,-8286
965,-190,-700,-8294
1045,-264,-730,-8288
1125,-315,-770,-8226
1205,-356,-780,-8197
1285,-419,-810,-8269
1365,-508,-696,-8345
1445,-591,-344,-8330
1525,-67,230,-8280
1605,442,822,-8154
1685,330,1209,-8164
1765,303,1091,-8262
1845,189,711,-8325
1925,-70,500,-8363
2005,-276,274,-8313
2085,-449,100,-8306
2165,-573,79,-8337
2246,-596,213,-8377
2325,-616,285,-8438
2405,-633,267,-8433
2485,-581,242,-8388
2565,-523,315,-8367
2645,-496,401,-8357
2724,-483,449,-8318
2804,-478,506,-8283
2884,-501,498,-8318
2964,-529,486,-8317
3044,-524,446,-8240
3124,-505,410,-8178
3204,-505,419,-8269
3284,-487,381,-8328
3364,-463,321,-8279
3444,-451,361,-8265
3524,-428,405,-8284
3604,-409,391,-8259
3684,-409,385,-8255
3764,-417,390,-8322
3844,-438,427,-8362
3924,-448,427,-8372
4004,-444,410,-8334
4084,-468,445,-8273
4164,-462,478,-8211
4246,-468,460,-8173
4324,-479,409,-8190
4404,-450,376,-8240
4484,-479,361,-8255
4564,-502,379,-8254
4644,-469,396,-8270
4724,-462,370,-8295
4804,-476,366,-8255
4884,-500,365,-8236
4964,-502,356,-8262
5044,-478,377,-8257
5124,-467,412,-8246
5204,-487,455,-8258
5284,-471,526,-8306
5364,-437,678,-8320
5444,-345,698,-8344
5524,39,1032,-8312
5604,526,1947,-8169
5684,992,2425,-8000
5764,1141,3058,-7767
5844,920,4079,-7514
5924,425,4624,-7319
6004,-216,4989,-7236
6084,-1190,5338,-6796
6164,-3027,5535,-6455
6246,-4482,5226,-6432
6324,-5006,4373,-5738
6404,-5345,3659,-4766
6484,-5614,3216,-3510
6564,-6021,3188,-2360
6644,-6629,3585,-2157
6724,-6921,3779,-2319
6804,-6912,3706,-2377
6884,-6925,3451,-2362
6964,-6897,2990,-2338
7044,-6995,2613,-2540
7124,-7177,2386,-2848
7204,-7322,2032,-2889
7284,-7483,1825,-2788
7364,-7644,1753,-2750
7444,-7710,1652,-2766
7524,-7707,1664,-2799
7604,-7740,1704,-2789
7684,-7738,1663,-2639
7764,-7404,1772,-2569
7844,-7052,2258,-2460
7924,-7110,2946,-2127
8004,-7214,3370,-1733
8084,-7356,3439,-1378
8164,-7619,3335,-1042
8246,-7827,3201,-825
8324,-8163,3087,-912
8404,-8252,3077,-1090
8484,-7900,3080,-1223
8564,-7744,2962,-1465
8643,-7800,2813,-1748
8723,-7826,2548,-1966
8803,-7804,2313,-2050
8883,-7734,2195,-1979
8964,-7701,2191,-1809
9043,-7669,2240,-1661
9123,-7594,2263,-1661
9203,-7644,2308,-1686
9283,-7813,2380,-1749
9363,-7909,2380,-1864
9443,-7928,2320,-1832
9523,-7937,2189,-1741
9603,-7881,1932,-1706
9683,-7667,1838,-1656
9763,-7516,1871,-1641
9843,-7574,1929,-1694
9923,-7687,2059,-1830
10003,-7773,2128,-1902
10083,-7831,2185,-1816
10168,-7908,2220,-1656
10243,-7928,2117,-1624
10323,-7774,1916,-1745
10403,-7720,1916,-1854
10483,-7789,2078,-1964
10563,-7787,2154,-2015
10643,-7939,2155,-1852
10723,-8113,2241,-1536
10803,-7912,2289,-1355
10883,-7665,2218,-1339
10963,-7720,2210,-1399
11043,-7925,2257,-1556
11123,-8081,2263,-1731
11203,-8042,2129,-1779
11283,-8127,1793,-1647
11363,-8166,1457,-1586
11443,-7886,1343,-1796
11523,-7763,1281,-2373
11603,-7732,1329,-2650
11683,-7683,1488,-2549
11763,-7805,1708,-2706
11843,-7760,1887,-2951
11923,-7244,1868,-2971
12003,-6849,2021,-2852
12083,-6853,2187,-2728
12163,-6829,2110,-2491
12243,-6776,2126,-2227
12323,-6819,2210,-1856
12403,-6958,2223,-1470
12563,-7581,2169,-996
12723,-7900,1901,-224
12883,-7787,2597,-471
13043,-7305,3531,-901
13203,-7148,4192,-1796
13283,-6762,4864,-2159
13362,-6479,5519,-2431
13442,-6151,5739,-2745
13522,-5682,5474,-3456
13602,-5686,4830,-4564
13682,-5679,4428,-5439
13762,-5180,4223,-6104
