Time (ms),X,Y,Z
85,973,-6153,-5578
166,893,-6099,-5571
245,882,-6066,-5499
325,979,-6042,-5534
405,1041,-6022,-5576
485,1036,-6004,-5595
565,1034,-6030,-5536
645,1024,-6059,-5449
725,1037,-6090,-5399
805,1077,-6147,-5419
885,1036,-6165,-5496
965,974,-6139,-5558
1045,962,-6161,-5527
1125,948,-6206,-5479
1205,890,-6183,-5465
1285,889,-6113,-5475
1365,914,-6123,-5574
1445,908,-6205,-5654
1525,931,-6217,-5649
1605,925,-6215,-5587
1685,939,-6230,-5541
1765,963,-6238,-5553
1845,957,-6173,-5550
1925,988,-6151,-5523
2005,977,-6175,-5494
2085,938,-6195,-5497
2165,945,-6179,-5576
2245,931,-6128,-5664
2325,908,-6096,-5636
2405,923,-6073,-5512
2485,955,-6088,-5472
2565,1005,-6086,-5487
2645,1019,-6051,-5469
2725,983,-6018,-5477
2805,958,-6070,-5532
2885,955,-6189,-5558
2965,953,-6202,-5536
3045,970,-6164,-5482
3125,977,-6164,-5509
3205,981,-6121,-5564
3285,1042,-6084,-5556
3365,1080,-6059,-5577
3445,1028,-6055,-5553
3525,979,-6079,-5516
3605,956,-6074,-5491
3684,988,-6097,-5496
3765,1037,-6107,-5541
3845,1008,-6112,-5536
3924,970,-6140,-5525
4005,960,-6153,-5529
4085,981,-6142,-5514
4164,1025,-6111,-5566
4244,1046,-6131,-5608
4325,1013,-6132,-5584
4404,988,-6115,-5557
4484,1003,-6133,-5535
4565,1010,-6141,-5559
4644,1022,-6162,-5536
4724,1044,-6155,-5492
4804,1037,-6143,-5471
4884,1026,-6180,-5486
4964,1038,-6180,-5511
5044,1017,-6154,-5505
5124,1000,-6142,-5468
5204,1008,-6137,-5426
5284,1030,-6143,-5440
5364,1014,-6120,-5506
5444,972,-6075,-5571
5524,970,-6046,-5593
5604,994,-6075,-5612
5684,997,-6148,-5604
5764,973,-6174,-5549
5844,979,-6126,-5506
5924,1007,-6121,-5477
6004,1029,-6152,-5464
6084,1013,-6116,-5475
6164,972,-6065,-5505
6244,944,-6032,-5486
6324,940,-6111,-5451
6404,946,-6157,-5460
6484,983,-6101,-5499
6564,1001,-6083,-5517
6644,1000,-6075,-5542
6724,1060,-6063,-5588
6804,1088,-6074,-5618
6884,1058,-6105,-5598
6964,1027,-6120,-5546
7044,1021,-6075,-5539
7124,1027,-6089,-5535
7204,1038,-6129,-5551
7284,1069,-6113,-5592
7364,1049,-6123,-5603
7444,1031,-6137,-5557
7524,1031,-6126,-5450
7604,1014,-6138,-5417
7684,998,-6118,-5470
7764,999,-6057,-5452
7844,1000,-6080,-5409
7924,1008,-6117,-5449
8004,1038,-6134,-5459
8084,1034,-6141,-5430
8164,999,-6102,-5459
8244,965,-6075,-5481
8324,967,-6114,-5457
8404,984,-6150,-5472
8484,967,-6157,-5504
8564,1002,-6178,-5468
8644,1035,-6162,-5477
8724,1016,-6104,-5472
8804,1033,-6094,-5478
