Time (ms),X,Y,Z
86,-1038,2745,-7734
166,-1064,2765,-7859
246,-1034,2801,-7883
326,-977,2809,-7826
406,-976,2744,-7816
486,-976,2731,-7769
566,-985,2725,-7738
646,-997,2654,-7784
726,-986,2586,-7780
806,-980,2555,-7769
886,-978,2584,-7798
966,-977,2605,-7838
1046,-1019,2624,-7873
1126,-1047,2666,-7872
1206,-1069,2644,-7855
1285,-1088,2547,-7873
1365,-1053,2502,-7889
1445,-1080,2456,-7922
1525,-1135,2383,-8092
1605,-1229,2315,-8239
1685,-1248,2190,-8273
1765,-1000,1934,-8221
1845,-518,1670,-8077
1925,-88,1410,-7857
2005,181,1042,-7728
2085,85,1246,-7796
2165,-165,1845,-7538
2245,-222,2611,-7161
2325,-436,3856,-7301
2405,-878,4923,-7461
2485,-1050,5515,-7245
2565,-1326,5773,-6580
2645,-2531,5672,-5963
2725,-3520,5079,-5428
2805,-3776,4076,-4777
2885,-4262,3070,-4208
2965,-4959,2567,-3824
3045,-5770,2341,-3653
3125,-6755,2517,-3531
3205,-6898,2805,-3551
3285,-6914,2648,-3680
3365,-7272,2106,-3620
3445,-7498,2203,-3524
3605,-7954,3111,-3505
3685,-8260,3730,-3111
3765,-7813,4224,-2621
3845,-6768,4318,-2409
3925,-6136,4105,-2353
4005,-6055,3938,-2882
4085,-6512,3134,-4349
4165,-7212,1632,-5554
4245,-7223,701,-5305
4325,-6715,1155,-4625
4405,-6265,2075,-4454
4485,-5304,2650,-4502
4565,-4156,3370,-4593
4645,-3517,4287,-4670
4725,-3681,4876,-4338
4805,-5934,6313,-4175
4885,-6490,7700,-4799
4965,-4025,8125,-5115
5045,-3303,8032,-4153
5125,-4204,7537,-3046
5206,-4658,6939,-2829
5285,-4076,5797,-2677
5365,-3540,4837,-2435
5445,-4144,4749,-2450
5525,-5416,6245,-2492
5605,-7060,8223,-2280
5685,-7647,8206,-1763
5765,-6793,6525,-1189
5845,-5977,4434,-854
5925,-5314,2708,-834
6005,-4818,2373,-970
6085,-6268,4214,-1042
6165,-8644,6525,-1681
6245,-8240,7602,-1860
6325,-5952,7071,-1593
6405,-4637,6209,-1213
6485,-5304,6985,-327
6565,-6649,8978,838
6645,-7558,10326,1629
6725,-7811,10144,547
6805,-7015,8547,-1333
6885,-5628,5812,-2508
6965,-4127,3923,-3304
7045,-3146,3085,-4265
7125,-2927,2608,-5489
7204,-3201,2830,-6411
7284,-3286,3352,-6644
7365,-3103,3646,-6514
7444,-2839,4399,-6334
7524,-2639,5270,-6386
7604,-2434,5267,-6308
7684,-1920,5564,-5939
7764,-1698,6215,-5152
7844,-1825,6946,-4118
7924,-2021,7619,-3346
8004,-2411,7959,-3191
8084,-2670,8066,-3742
8165,-2602,7578,-4307
8244,-2042,6932,-4749
8324,-1242,6349,-4989
8404,-425,5676,-5161
8484,562,5294,-5626
8644,1833,5132,-6193
8724,3186,4426,-6482
8804,3621,3498,-6695
8884,2756,2758,-6862
8964,1807,2815,-6957
9044,1765,3054,-7095
9124,2335,2679,-6989
9204,2763,2564,-6657
9284,2279,3365,-6383
9364,1422,3815,-6281
9444,407,4255,-6413
9524,-1295,4307,-6346
9604,-3473,4356,-6281
9684,-4830,4516,-6498
9764,-4985,4283,-6437
9875,-4656,5216,-6366
9924,-4169,6505,-5940
10004,-3754,7500,-4964
10084,-3441,7792,-4014
10164,-3441,7271,-3434
10244,-3662,6635,-3258
10324,-3928,6270,-3278
10404,-4205,6220,-3535
10484,-4429,6384,-3843
10564,-4371,6316,-3850
10644,-4241,6267,-3554
10724,-4121,6056,-3262
10804,-4116,5753,-3331
10884,-4173,6021,-3714
10964,-3893,6625,-4234
11044,-3301,6821,-4596
11124,-2367,6622,-4722
11204,-1351,6478,-4883
11284,-289,6035,-5095
11364,1445,5495,-5219
11444,4166,4851,-5772
11524,6042,3261,-6910
11604,6993,291,-6339
11684,7147,-607,-4937
11764,5365,972,-5794
11844,4253,154,-6954
11955,4101,-996,-6334
12004,3894,-593,-5370
12084,3652,-1037,-5587
12164,3744,-450,-6371
12244,4564,1583,-6284
12324,5057,2967,-6909
12404,5236,3492,-7389
12484,5345,3174,-6366
12564,5499,2915,-5906
12644,5596,2981,-5802
12724,5581,2936,-5575
12804,5515,2931,-5434
12884,5484,3228,-5309
12964,5486,3512,-5302
13044,5035,3627,-5529
13124,4380,3655,-5729
13284,4289,3694,-6121
13363,4570,3490,-6278
13443,4659,2977,-5891
13523,4299,2361,-5496
13603,3662,2228,-5304
13683,3125,2764,-4941
13763,3097,3287,-3704
13843,3571,2916,-2308
13923,3800,1787,-1196
14003,4155,748,-370
14083,3808,2193,-984
14163,-1340,8827,-1381
14243,-7396,14038,-670
14323,-8205,12293,-765
14403,-6114,8541,-1082
14483,-4482,6152,-829
14563,-4045,6241,-412
14643,-3919,10160,-1575
14723,-2647,12406,-3040
14803,-1055,9867,-2673
14883,-23,7026,-2083
14963,1962,4967,-1944
15043,5245,4510,-2136
15123,7322,5117,-2422
15203,6907,4265,-2496
15283,5612,2971,-2393
15363,4735,1966,-2465
15443,4411,1677,-2891
15523,4115,2703,-3235
15603,3277,5299,-3797
15683,2340,7979,-3871
15763,1808,8767,-3231
15843,1544,8042,-2941
15923,1967,7464,-3122
16003,2079,7878,-3223
16083,893,9651,-3108
16163,-1146,10990,-3200
16243,-2208,9650,-3165
16323,-1892,6771,-2800
16403,-1924,4336,-1989
16483,-3741,3337,-1098
16563,-7636,3366,-563
16643,-11579,3850,-553
16723,-12658,4348,-907
16803,-10761,4290,-952
16883,-8058,3725,-1033
16963,-5909,3914,-1933
17043,-6060,4626,-2891
17123,-9614,4633,-3056
17203,-12997,4346,-2450
17283,-12209,3692,-1168
17363,-9314,2840,292
17443,-7161,2571,1110
17523,-5833,2531,919
17603,-5905,2743,-40
17683,-7945,3132,-1385
17763,-9998,3228,-2242
17843,-10016,3093,-2301
17923,-8769,3116,-2114
18083,-7206,3365,-2027
18243,-7528,5058,-3545
18323,-11870,5202,-3745
18403,-14553,3937,-2387
18483,-12721,2903,-798
18563,-8920,2267,217
18643,-7814,1757,784
18723,-7836,1323,622
18803,-7796,2111,-315
18883,-8818,3230,-1214
18963,-9064,3683,-1736
19043,-8334,4194,-2107
19122,-7336,4124,-2178
19202,-6648,3724,-2134
19282,-7822,4503,-2472
19362,-11316,4935,-3347
19442,-13841,4632,-3772
19522,-12722,3552,-2766
19602,-9502,1981,-1392
19682,-7095,1410,-581
19762,-6049,1127,-32
19842,-6774,1969,-220
19922,-9401,3821,-1323
20002,-10412,4532,-2017
20082,-8817,3787,-1803
20162,-7219,3405,-1797
20242,-6645,3902,-1888
20322,-8589,4219,-1965
20402,-11519,4273,-2632
20482,-12587,4016,-2867
20562,-10865,3281,-2310
20642,-7807,2358,-1325
20722,-6988,1706,-243
20802,-6631,1393,92
20882,-7003,2502,-119
20962,-9328,4070,-610
21042,-10191,4553,-1292
21122,-8859,4506,-1413
21202,-7256,4321,-1598
21282,-6713,4346,-1915
21362,-9014,4657,-2037
21442,-12332,4707,-2367
21522,-13060,3792,-2094
21602,-11128,2597,-1369
21682,-8485,1928,-741
21762,-7338,1155,-30
21842,-6906,889,413
21953,-7993,2498,261
22002,-10012,4153,-305
22082,-10057,4344,-765
22162,-9019,4177,-1228
22242,-7715,3912,-1819
22322,-7192,3557,-2018
22402,-8819,3418,-2059
22482,-11114,3540,-2437
22562,-11672,3401,-2545
22642,-10147,2577,-1981
22722,-8327,1808,-1274
22802,-7153,1475,-730
22882,-6264,1550,-563
22962,-7250,2764,-1031
23042,-9426,4132,-1719
23202,-9442,4104,-2040
23282,-7998,3638,-2036
23362,-7213,3635,-2221
23442,-7471,3924,-2411
23522,-9581,4528,-2516
23602,-12127,4562,-2761
23682,-12187,3485,-2500
23762,-9756,2334,-1704
23842,-7213,1908,-948
23922,-5814,1846,-400
24002,-5717,2073,-596
24082,-7874,3042,-1619
24162,-9905,3416,-2403
24242,-9435,3301,-2521
24322,-7832,3546,-2362
24402,-7068,3711,-2314
24482,-7565,3882,-2453
24562,-9522,4184,-2451
24642,-11750,4009,-2210
24722,-11712,2979,-1808
24802,-9219,2141,-1133
24882,-6672,1937,-358
24962,-6382,1578,345
25042,-7135,1376,571
25121,-8894,2307,-118
25201,-10851,3005,-1216
25281,-10123,3126,-2129
25361,-8033,3183,-2376
25441,-7008,3277,-2500
25521,-7605,3637,-2762
25601,-9703,3814,-2731
25681,-11433,3512,-2512
25761,-10967,2910,-2000
25841,-8939,2253,-1291
25921,-7217,1665,-730
26001,-6900,1169,-485
26081,-7931,1134,-619
26161,-9795,2049,-1142
26241,-10272,3005,-1634
26321,-8897,3126,-2222
26401,-7376,3319,-2821
26481,-6906,4186,-2904
26561,-8711,4650,-2900
26641,-11551,4337,-2889
26721,-12627,3927,-2491
26801,-9876,3317,-1768
26881,-5732,2699,-807
26961,-5764,2710,-78
27041,-7666,1853,7
27121,-8903,1974,-569
27201,-10206,3448,-1127
27281,-10062,3836,-1405
27361,-8961,4188,-1534
27441,-7663,5163,-1398
27521,-7074,5712,-1566
27601,-8627,5994,-1507
27681,-11733,5690,-1181
27761,-13413,4207,-986
27841,-11856,3004,-631
27921,-8927,2212,-430
28001,-7698,852,-167
28081,-7569,64,8
28161,-7611,1498,-414
28241,-8826,3901,-1217
28321,-9000,6225,-1891
28401,-6596,7531,-1701
28561,-4194,7593,-1416
28641,-3433,8135,-1651
28721,-3795,9404,-1180
28801,-5253,10371,56
28881,-6002,9550,718
28961,-5019,6938,241
29041,-3894,5045,-536
29121,-3413,4709,-1121
29201,-3871,4971,-1564
29281,-5673,6083,-1139
29361,-7888,6807,-523
29441,-8272,6009,-474
29521,-7179,5150,-469
29601,-6704,5074,-705
29681,-7165,5056,-1174
29761,-8797,4586,-1666
29841,-11215,4367,-2049
29921,-12027,4273,-1989
30001,-9596,3350,-1482
30081,-6592,2536,-606
30161,-6378,1891,460
30241,-7602,1283,753
30321,-9522,2144,155
30401,-10904,2818,-764
30481,-9661,2749,-1646
30561,-7690,3288,-2074
30641,-6908,3779,-2188
30721,-7294,3897,-2318
30801,-9353,4276,-2413
30881,-11901,4265,-2355
30961,-12680,3441,-2097
31040,-10959,2390,-1533
31120,-8158,1593,-851
31200,-6690,1264,-252
31280,-6578,1648,-186
31360,-7806,3125,-855
31440,-9404,4096,-1730
31520,-9175,3805,-2199
31600,-7890,3824,-2204
31680,-7189,4191,-2044
31760,-7357,4371,-2003
31840,-9459,4822,-2275
31920,-12105,4742,-2802
32000,-11989,3569,-2750
32080,-8853,2475,-1888
32160,-6058,2349,-975
32240,-6129,2222,-353
32320,-7085,1924,-480
32400,-8538,2733,-1342
32480,-9958,3119,-2120
32560,-9110,2957,-2423
32640,-7527,3513,-2325
32720,-7036,3944,-2186
32800,-7465,4102,-2377
32880,-9133,4492,-2466
32960,-11261,4537,-2388
33040,-11279,3695,-2001
33120,-8820,2602,-1454
33200,-7144,1930,-994
33280,-7661,1540,-455
33360,-8388,1495,-315
33440,-9137,2285,-890
33520,-9632,2961,-1730
33600,-8864,2875,-2429
33680,-7566,2997,-2729
33760,-6961,3370,-2792
33920,-7822,3569,-2805
34000,-10206,3910,-2572
34080,-12307,4300,-2702
34160,-11341,3798,-2524
34240,-7798,2830,-1715
34320,-6112,2506,-919
34400,-7043,1937,-301
34480,-7767,1885,-738
34560,-9198,2715,-1719
34640,-9728,2751,-2458
34720,-8072,2717,-2555
34800,-6897,3479,-2361
34880,-6922,3928,-2501
34960,-8172,4103,-2584
35040,-10437,4679,-2537
35120,-11877,4453,-2370
35200,-10722,3434,-2044
35280,-7988,2574,-1389
35360,-6662,1952,-665
35440,-7265,1379,-310
35520,-8374,1599,-700
35600,-9959,2573,-1436
35680,-9852,2856,-1882
35760,-7762,2724,-2056
35840,-6335,3072,-2265
35920,-6514,3447,-2533
36000,-8374,3802,-2863
36080,-11095,4266,-3128
36160,-12671,3987,-2825
36240,-10869,3098,-2120
36320,-7126,2589,-1432
36400,-5979,2309,-574
36480,-6964,1563,-131
36560,-7688,1651,-642
36640,-9289,2725,-1648
36720,-9933,3012,-2622
36800,-8235,3027,-2888
36880,-6598,3376,-2670
36960,-6561,3504,-2569
37040,-8191,3803,-2803
37119,-10924,4207,-2912
37199,-12463,3960,-2630
37279,-11106,2982,-2046
37359,-8449,1988,-1304
37439,-6604,1448,-660
37519,-5957,1332,-393
37599,-6877,2363,-926
37679,-9167,3305,-1901
37759,-9987,3010,-2406
37839,-8653,3068,-2292
37919,-7288,3779,-2196
37999,-6993,4179,-2185
38079,-8606,4485,-2402
38159,-11579,4584,-2725
38239,-12939,3777,-2535
38319,-10798,2658,-1831
38399,-7332,2179,-862
38479,-6502,1639,153
38559,-7173,1131,370
38639,-8059,2355,-766
38719,-9744,3318,-1902
38799,-10094,2922,-2569
38879,-8541,3036,-2692
38959,-6954,3490,-2451
39039,-6897,3583,-2423
39119,-8032,3865,-2590
