Time (ms),X,Y,Z
85,-6037,-470,-5587
165,-6000,-544,-5610
245,-6000,-493,-5673
325,-6034,-358,-5668
405,-6032,-355,-5734
485,-6041,-371,-5773
565,-6053,-361,-5724
645,-6016,-382,-5666
725,-6016,-409,-5647
805,-6016,-396,-5630
885,-6042,-381,-5657
965,-6096,-434,-5763
1045,-6087,-433,-5778
1125,-6083,-467,-5786
1205,-6073,-483,-5866
1285,-6060,-448,-5860
1365,-6173,-431,-5807
1445,-6080,-449,-5824
1525,-5730,-492,-5841
1605,-5840,-503,-5729
1685,-6284,-662,-5549
1765,-6491,-864,-5277
1845,-6733,-1078,-5091
1925,-6940,-1459,-5141
2005,-7454,-2363,-5522
2085,-7054,-2853,-5683
2165,-5475,-2953,-5289
2245,-4910,-3555,-4925
2325,-5338,-4288,-4636
2405,-5700,-4844,-4023
2485,-5646,-5060,-3055
2565,-5895,-5203,-2492
2725,-6369,-5885,-2366
2805,-6240,-6604,-1872
2885,-5813,-6547,-1419
2965,-5306,-6443,-1319
3045,-4583,-6369,-1247
3125,-4007,-6651,-1359
3205,-3687,-7303,-1385
3285,-3555,-7667,-1218
3365,-3451,-7837,-1148
3445,-3428,-7685,-1142
3525,-3451,-7478,-1181
3605,-3420,-7475,-1251
3685,-3422,-7551,-1309
3765,-3432,-7594,-1464
3845,-3368,-7546,-1460
3925,-3364,-7533,-1364
4005,-3464,-7475,-1404
4085,-3476,-7491,-1278
4165,-3457,-7464,-1253
4245,-3482,-7452,-1549
4325,-3493,-7557,-1790
4405,-3533,-7426,-1919
4485,-3696,-6938,-2124
4565,-4208,-6028,-2562
4645,-6317,-4647,-3235
4725,-9145,-3491,-3250
4805,-9157,-3746,-2233
4885,-7045,-5769,-1374
4965,-5753,-6388,-2254
5045,-5491,-4158,-4441
5125,-5387,-2306,-5973
5205,-5014,-1844,-6508
5285,-4746,-1646,-6672
5445,-4783,-1221,-6843
5525,-4775,-911,-6982
5605,-4549,-886,-7064
5685,-3735,-1310,-7282
5765,-3278,-774,-7477
5845,-3552,757,-7628
5925,-3304,1241,-7544
6005,-3394,1313,-8103
6085,-3529,1287,-8739
6164,-2738,-194,-7456
6244,-1857,-1858,-6218
6324,-1447,-1772,-6751
6404,-1307,-1527,-7409
6484,-1130,-2685,-6768
6564,-1048,-3182,-6102
6645,-1359,-827,-6662
6724,-2341,2193,-8102
6804,-2620,3217,-8713
6884,-2238,2277,-8230
6964,-2213,1549,-8108
7044,-2518,1883,-8255
7124,-3078,1988,-8119
7204,-3553,1320,-7637
7284,-4082,514,-7122
7364,-4337,137,-7061
7444,-4456,-448,-7152
7524,-4469,-1038,-6810
7604,-4594,-1441,-6557
7684,-5105,-1637,-6686
7764,-5327,-1763,-6807
7844,-5045,-1685,-6795
7924,-4650,-1307,-6277
8004,-4474,-1361,-5924
8164,-4306,-1608,-6502
8244,-4407,-1570,-6840
8324,-4659,-1655,-6562
8404,-4632,-2061,-6322
8484,-5029,-2652,-7072
8564,-5470,-2441,-8096
8644,-4737,-1096,-7720
8724,-3498,299,-6862
8804,-2442,1864,-6530
8884,-1353,3772,-5991
8964,-503,5507,-4843
9044,286,6607,-3343
9124,859,7111,-2139
9204,1101,7022,-1467
9284,711,7151,-795
9365,511,7860,-653
9444,1058,8140,-1141
9524,1613,8134,-1855
9604,1615,8472,-2342
9684,788,8263,-3210
9764,154,7038,-4571
9844,465,5578,-5555
9924,610,4189,-6219
10004,217,3286,-6640
10084,-522,2583,-6871
10164,-1105,2178,-7226
10244,-148,4192,-6298
10324,922,6916,-3620
10404,1053,7529,-1287
10484,756,7661,-481
10564,661,8235,-608
10644,1026,8664,-506
10804,1350,8421,-415
10884,1603,8008,-83
10964,1713,8038,346
11044,1704,7796,964
11124,1452,7853,1449
11204,1147,9016,599
11284,954,8422,-497
11364,454,5516,-2477
11444,-582,3161,-5314
11524,-1458,1961,-6542
11604,-1926,1409,-6757
11684,-2726,1161,-7224
11764,-3286,942,-7646
11844,-3317,661,-7655
11924,-3433,112,-7626
12003,-3582,-717,-7672
12083,-3446,-872,-7463
12163,-3409,-245,-7348
12243,-3733,159,-7542
12323,-3850,-447,-7556
12403,-3913,-1370,-7315
12483,-3609,-1578,-6861
12563,-3391,-1052,-6854
12643,-3869,-440,-6962
12724,-4109,-488,-6790
12803,-4375,-1065,-6607
12883,-4772,-1624,-6479
12963,-5086,-1782,-6642
13043,-5266,-1822,-6513
13123,-5111,-1892,-6307
13203,-5210,-1924,-6254
13283,-5478,-2136,-6161
13363,-5381,-2183,-6169
13523,-5036,-2068,-6480
13603,-4645,-1802,-6702
13683,-4830,-1635,-6387
13763,-4993,-1617,-6112
13843,-4685,-1565,-6214
13923,-4635,-1994,-6459
14003,-4894,-2254,-6496
14083,-5305,-1897,-6513
14163,-5445,-1807,-6495
14243,-5237,-2551,-6171
14323,-5089,-2898,-6046
14403,-4926,-2419,-6184
14483,-4807,-2119,-6530
14563,-4701,-2500,-6435
14643,-4830,-2643,-6006
14723,-4925,-2505,-5789
14803,-4892,-2671,-5722
14883,-5150,-2714,-5905
14963,-5467,-2692,-5802
15043,-5819,-2887,-5779
15123,-5984,-3643,-5855
15203,-6035,-3842,-5454
15283,-6196,-3115,-5199
15363,-5271,-3101,-5122
15443,-4046,-2838,-5258
15523,-3799,-2152,-5859
15603,-3249,-1277,-6438
15684,-2514,-84,-6972
15763,-2496,498,-7759
15843,-2521,3571,-6496
15923,-2354,6532,-4318
16003,-2139,6641,-3568
16083,-1843,6768,-3491
16302,-1987,6896,-4027
16347,-2566,6127,-4841
16403,-2665,5479,-5331
16483,-2302,5424,-5739
16563,-1953,4997,-5912
16643,-1866,4635,-5498
16723,-2655,5910,-5091
16803,-3620,7486,-3723
16883,-4113,7692,-2163
16963,-3762,7993,-1623
17043,-3888,7723,-2012
17123,-3692,6923,-2594
17203,-2712,6610,-3003
17283,-2110,6054,-3765
17363,-1863,6426,-3617
17443,-2269,6976,-2839
17523,-2364,7147,-2775
17603,-1879,7713,-3121
17683,-1483,7192,-3138
17763,-1639,6769,-2650
17843,-1635,7358,-3473
17923,-1864,6197,-5300
18003,-3115,3410,-6553
18082,-4458,1411,-6864
18162,-4991,248,-6889
18242,-4556,-841,-6722
18323,-4131,-1878,-6260
18402,-4240,-2148,-5950
18482,-4342,-2445,-6053
18562,-4211,-3822,-6161
18642,-4414,-4498,-5178
18722,-5115,-4344,-4328
18803,-5425,-4613,-4298
18962,-5441,-4679,-4292
19042,-5944,-4001,-3530
19122,-6341,-3685,-2867
19202,-5971,-4272,-2933
19282,-5807,-4836,-2981
19362,-5961,-5073,-2953
19442,-5930,-5039,-2837
19522,-5882,-4937,-2723
19602,-5774,-4856,-2653
19682,-5672,-5347,-2595
19762,-5693,-5790,-2756
19842,-5558,-5492,-3052
19922,-5418,-5174,-3148
20002,-5541,-5223,-3022
20082,-5709,-5458,-2707
20162,-5488,-5773,-2466
20242,-5428,-5715,-2508
20322,-5793,-5424,-2681
20402,-6031,-5475,-3333
20482,-5408,-5081,-4159
20562,-4947,-3301,-4851
20642,-5227,-1173,-5874
20722,-4751,93,-6428
20802,-4239,1238,-4910
20882,-4171,3438,-1820
20962,-3345,5360,-55
21042,-1508,6504,-341
21122,-294,7602,-1423
21202,-86,8199,-1773
21282,-117,8161,-673
21362,-456,7947,404
21442,-691,8103,487
21602,-1133,8279,842
21682,-1928,7822,1674
21762,-2206,7336,1618
21842,-1908,7673,636
21922,-1760,8368,-87
22002,-2050,8778,-314
22082,-2544,8559,-462
22162,-2860,8261,-284
22242,-2742,8138,183
22322,-2679,8039,504
22402,-2726,8044,586
22482,-2757,8003,606
22562,-2814,8001,625
22642,-2832,7992,718
22722,-2798,8022,762
22802,-2799,8010,706
22882,-2808,7979,663
22962,-2795,7981,651
23042,-2840,7948,628
23122,-2870,7942,618
23202,-2875,7955,630
23282,-2792,8013,661
23362,-2694,7912,624
23442,-2861,7557,539
23522,-3102,7366,824
23602,-2941,7371,1657
23682,-2669,7280,3095
23762,-2559,7135,4466
23842,-2653,6905,4935
23922,-2748,6396,5188
24001,-2827,6184,5536
24081,-2924,6393,5673
24161,-2934,6251,5574
24321,-2948,5998,5486
24401,-2818,5820,5521
24481,-2757,5642,5401
24561,-2745,5662,5354
24641,-2655,5774,5341
24721,-2561,5758,5240
24801,-2441,5887,5253
24881,-2308,6306,5336
24961,-2161,6630,5605
25041,-2126,7088,5867
25121,-2050,7651,5904
25201,-1588,7820,5759
25281,-1389,8300,4121
25361,-1510,8268,2084
25441,-1336,7775,1049
25521,-905,8330,1036
25601,-12,8265,842
25681,-355,6663,-1895
25761,-1318,5446,-3838
25841,-1426,6006,-2695
25921,-1374,6660,-932
26001,-863,7196,931
26081,-377,7779,1988
26161,-782,8161,1448
26241,-1663,9510,1299
26321,-1911,10437,1358
26401,-1651,9862,796
26481,-1162,8518,1900
26561,-363,7302,3286
26641,-289,7427,3078
26721,-1543,8066,2256
26881,-3887,7561,1215
26961,-5886,6113,1403
27041,-5691,7410,2345
27121,-3738,9758,795
27201,-3349,7402,-722
27281,-5336,4929,-755
27361,-6681,4851,-1582
27441,-7043,4516,-2172
27521,-6743,6128,-2840
27601,-6278,8057,-2955
27681,-5745,7719,-2454
27761,-7537,4761,-2083
27841,-8553,2434,-4114
27921,-5969,3415,-6213
28001,-4278,4077,-5570
28081,-2686,4062,-4314
28162,-1859,4123,-3873
28241,-3864,2836,-5162
28321,-6430,1032,-6506
28401,-7601,336,-6620
28481,-7267,140,-6204
28561,-6420,253,-5864
28641,-5623,861,-5996
28721,-5474,1768,-6519
28801,-5780,2925,-6711
28881,-5487,3669,-6306
28961,-5180,3760,-5664
29041,-4431,3444,-5715
29121,-3364,3305,-6149
29201,-2781,3360,-6701
29281,-2970,3103,-7266
29361,-3340,2540,-6992
29521,-3445,1295,-6565
29601,-4586,-190,-6459
