Time (ms),X,Y,Z
85,-1314,-4013,-7202
165,-1317,-3926,-7206
325,-1306,-3958,-7312
405,-1246,-3906,-7336
485,-1234,-3933,-7355
565,-1246,-4005,-7415
645,-1235,-3936,-7367
725,-1212,-3913,-7430
805,-1168,-3953,-7587
885,-1044,-3938,-7661
965,-842,-3888,-7549
1045,-705,-4035,-7463
1125,-931,-4164,-7346
1205,-670,-4036,-6635
1285,-1120,-4582,-6695
1365,-2268,-4513,-7270
1445,-2172,-3601,-6915
1525,-1624,-2817,-7065
1605,-1393,-2195,-7613
1685,-1090,-2418,-7707
1765,-718,-2436,-7784
1845,-980,-2231,-7778
1924,-1503,-2281,-7869
2004,-1722,-2185,-8005
2084,-1542,-2199,-7966
2164,-809,-2505,-7555
2244,-809,-3083,-7159
2324,-1475,-3720,-7119
2404,-1666,-4111,-7006
2484,-1746,-4242,-6937
2564,-1698,-4345,-6887
2644,-1668,-4547,-6788
2724,-1687,-4727,-6750
2804,-1714,-4777,-6715
2884,-1709,-4791,-6656
2964,-1706,-4773,-6628
3044,-1739,-4764,-6692
3124,-1738,-4863,-6680
3204,-1729,-4908,-6614
3284,-1588,-4836,-6600
3364,-1266,-4836,-6517
3444,-954,-5084,-6751
3524,-799,-5011,-7040
3604,-881,-4858,-6816
3684,-996,-4991,-6592
3764,-1058,-5156,-6667
3844,-1062,-5096,-6702
3924,-1004,-4966,-6539
4004,-993,-5016,-6454
4084,-1031,-5031,-6585
4164,-1075,-5064,-6732
4244,-1069,-5070,-6715
4324,-1083,-4980,-6604
4404,-1142,-4912,-6579
4484,-1169,-4999,-6618
4564,-1122,-5075,-6628
4644,-1057,-5059,-6573
4724,-1103,-5008,-6590
4804,-1151,-4993,-6640
4884,-1216,-5106,-6621
4964,-1229,-5474,-6791
5044,-1116,-6056,-6871
5124,-798,-5542,-6882
5204,-462,-3551,-6794
5284,-434,-2367,-6462
5364,-250,-2054,-6692
5444,220,-1447,-7473
5524,585,-771,-8154
5604,516,-1387,-7865
5684,732,-2382,-7423
5764,1472,-926,-7994
5844,1340,-110,-8593
5924,450,-156,-8718
6004,1,377,-8708
6084,4,-193,-8627
6164,134,-169,-8427
6244,237,354,-8223
6324,200,376,-8213
6404,149,566,-8302
6484,159,527,-8336
6564,155,372,-8325
6644,59,308,-8423
6724,-45,125,-8537
6804,-26,175,-8428
6884,69,301,-8317
6964,181,61,-8274
7044,149,-170,-8219
7124,40,-99,-8254
7204,91,-74,-8330
7284,115,-79,-8297
7364,92,-73,-8298
7444,124,-3,-8376
7524,122,98,-8387
7604,129,52,-8341
7684,184,-97,-8328
7764,218,-56,-8322
7844,217,125,-8327
7923,233,107,-8347
8003,241,-63,-8339
8084,159,-32,-8318
8163,70,-86,-8283
8243,71,-255,-8275
8323,157,-600,-8200
8483,268,-918,-8231
8563,360,-960,-8251
8643,317,-894,-8269
8723,280,-863,-8243
8803,288,-840,-8273
8883,267,-821,-8279
8963,222,-616,-8367
9043,168,-298,-8494
9123,168,-808,-8296
9203,219,-1788,-8042
9283,209,-2219,-8043
9363,144,-2506,-8061
9443,251,-2836,-7907
9523,463,-3084,-7758
9603,467,-3199,-7800
9683,470,-3083,-7870
9763,351,-2755,-7963
9843,168,-2551,-7921
9923,245,-2524,-7910
10003,315,-2793,-8032
10083,407,-2773,-8022
10163,297,-2670,-8000
10243,237,-2784,-8049
10323,388,-2658,-8055
10403,433,-2566,-8015
10483,531,-2539,-7980
10563,585,-2587,-7946
10643,524,-2634,-7930
10723,505,-2674,-7965
10803,393,-2641,-8025
10883,691,-2566,-7984
10963,1018,-2454,-7931
11043,829,-2479,-7906
11123,741,-2516,-7937
11203,725,-2465,-8003
11283,752,-2441,-7965
11363,790,-2456,-7931
11443,748,-2505,-7915
11523,694,-2468,-7924
11603,652,-2469,-7988
11683,599,-2494,-7992
11763,574,-2421,-7969
11843,571,-2369,-8009
11923,595,-2388,-8011
12003,563,-2448,-7986
12083,472,-2348,-7974
12163,531,-2216,-7952
12243,670,-2146,-7984
12323,684,-2104,-7973
12403,536,-2145,-7960
12483,357,-2010,-7996
12563,350,-1862,-8022
12643,363,-1733,-8042
12723,293,-1741,-8086
12803,269,-1873,-8175
12883,266,-1849,-8225
12963,291,-1838,-8197
13043,311,-1875,-8124
13123,303,-1868,-8047
13203,282,-1830,-8071
13283,323,-1803,-8125
13363,360,-1791,-8057
13443,343,-1828,-7990
13523,309,-1896,-8010
13603,302,-1894,-8037
13683,367,-1851,-7998
13763,397,-1916,-7980
13842,369,-1912,-8006
13922,364,-1825,-7958
14002,387,-1767,-7996
14082,390,-1706,-8047
14162,391,-1728,-8063
14243,374,-1790,-8112
14322,366,-1802,-8076
14402,354,-1782,-8059
14482,366,-1790,-8077
14562,397,-1742,-8102
14643,394,-1634,-8165
14722,376,-1610,-8177
14802,359,-1692,-8149
14882,334,-1739,-8110
14962,296,-1701,-8066
15042,287,-1607,-8132
15122,369,-1358,-8170
15202,543,-1113,-8128
15282,684,-991,-8126
15362,639,-1105,-8066
15442,498,-1294,-8097
15522,356,-1212,-8180
15602,293,-1128,-8288
15686,303,-1194,-8277
15762,384,-1242,-8307
15842,414,-1171,-8286
15922,385,-1231,-8182
16002,423,-1242,-8185
16082,458,-1060,-8281
16162,405,-1034,-8283
16242,398,-1134,-8249
16322,438,-1154,-8251
16402,405,-1164,-8320
16482,398,-1177,-8352
16562,429,-1157,-8358
16642,511,-1148,-8387
16722,507,-1204,-8281
16802,471,-1127,-8240
16882,531,-989,-8247
16962,533,-1062,-8233
17042,492,-1087,-8252
17122,532,-1107,-8252
17202,594,-1210,-8235
17282,572,-1190,-8218
17362,646,-1232,-8219
17442,664,-1200,-8228
17522,570,-1151,-8266
17602,500,-1179,-8412
17682,340,-1065,-8481
17762,333,-994,-8418
17842,587,-535,-8381
17922,747,-39,-8287
18002,822,65,-8294
18082,815,335,-8365
18162,709,418,-8373
18242,685,363,-8317
18322,690,236,-8180
18402,727,185,-8167
18482,736,374,-8247
18562,731,471,-8310
