Time (ms),X,Y,Z
85,-1066,-2642,-7853
165,-1073,-2737,-7853
245,-1094,-2713,-7870
325,-1112,-2659,-7826
405,-1095,-2574,-7798
485,-1053,-2569,-7767
565,-1068,-2669,-7727
645,-1066,-2673,-7777
725,-1056,-2658,-7860
805,-1078,-2702,-7813
885,-1053,-2654,-7714
965,-1025,-2563,-7694
1045,-1055,-2538,-7761
1125,-1581,-2612,-7818
1205,-2466,-4269,-7717
1285,-2273,-5494,-7900
1365,-851,-3717,-8490
1444,221,-1736,-8440
1524,-98,-1281,-7887
1604,-733,-1394,-7680
1684,-747,-1173,-7576
1764,-353,14,-7741
1844,-306,1157,-7920
1924,-1198,2253,-7858
2004,-1912,2176,-7812
2084,-1519,646,-7808
2164,-389,-776,-8147
2245,275,-1935,-8681
2324,133,-2109,-8888
2404,-207,-1746,-8642
2484,-426,-1244,-8426
2564,-502,-634,-8461
2644,-717,-264,-8367
2724,-809,-6,-8169
2804,-723,754,-8470
2884,-700,1178,-8618
3044,-587,1537,-8576
3124,-364,1585,-8275
3204,-431,1582,-8032
3284,-555,1880,-8192
3364,-375,1848,-7857
3444,-538,1799,-7940
3524,-861,2023,-8440
3604,-458,2828,-8844
3684,465,2563,-7768
3764,870,723,-6899
3844,564,-1193,-7664
3924,404,-1532,-8208
4004,398,-717,-8864
4084,45,-346,-8495
4164,204,178,-8186
4244,150,89,-8734
4324,-352,-738,-8511
4404,-263,-944,-8467
4484,299,-358,-8412
4564,664,1453,-7780
4644,476,3100,-7366
4724,81,3586,-7437
4804,-410,3327,-7821
4884,-588,3026,-8154
4964,-424,3100,-7967
5044,-373,3176,-7820
5124,-460,3272,-7966
5204,-416,3325,-7871
5284,-310,3461,-7801
5364,-226,3353,-7777
5444,-204,3175,-7732
5524,-219,3254,-7753
5604,-252,3171,-7814
5684,-344,3065,-7860
5764,-361,3058,-7822
5844,-344,3037,-7796
5924,-361,2994,-7826
6004,-335,2982,-7831
6084,-340,2908,-7859
6164,-368,2873,-7907
6244,-356,2874,-7895
6324,-316,2849,-7830
6404,-374,2914,-7773
6484,-427,2928,-7841
6564,-451,2900,-7949
6644,-403,2981,-7915
6724,-304,2967,-7856
6804,-292,2808,-7837
6884,-303,2810,-7785
6964,-334,2819,-7770
7044,-374,2764,-7831
7124,-418,2755,-7825
7204,-430,2640,-7805
7284,-410,2552,-7856
7363,-383,2537,-7939
7443,-371,2555,-7987
7523,-374,2564,-7992
7603,-410,2414,-8071
7683,-401,1960,-8228
7763,-396,1262,-8343
7843,-488,936,-8346
7923,-548,1023,-8287
8003,-542,1004,-8226
8083,-522,1098,-8146
8163,-512,1210,-8092
8243,-474,1100,-8109
8323,-473,1083,-8177
8403,-473,1160,-8251
8483,-464,1204,-8235
8563,-478,1294,-8244
8643,-441,1455,-8317
8723,-458,1504,-8436
8803,-457,1775,-8346
8883,-380,1910,-8168
8963,-421,1690,-8145
9043,-457,1793,-8220
9123,-329,2012,-8254
9203,-269,2020,-8159
9283,-292,2024,-8149
9363,-286,2034,-8204
9443,-283,1954,-8204
9523,-316,1848,-8102
9683,-348,1696,-8003
9763,-380,1685,-7982
9843,-455,1902,-7998
9923,-465,1935,-8014
10003,-426,1805,-8022
10083,-425,1779,-8136
10163,-408,1749,-8224
10243,-365,1633,-8153
10323,-414,1587,-8129
10403,-479,1677,-8238
10483,-493,1787,-8297
10563,-448,1796,-8247
10643,-410,1706,-8275
10723,-452,1596,-8306
10803,-471,1493,-8294
10883,-480,1445,-8246
10963,-519,1397,-8156
11043,-503,1349,-8130
11123,-452,1276,-8136
11203,-472,1207,-8147
11283,-524,1269,-8186
11363,-505,1358,-8213
11443,-445,1339,-8234
11523,-434,1254,-8235
11603,-480,1206,-8235
11683,-493,1217,-8227
11763,-473,1265,-8223
11843,-456,1262,-8273
11923,-456,1227,-8236
12003,-465,1236,-8176
12083,-444,1240,-8200
12163,-442,1242,-8202
12247,-475,1251,-8177
12323,-483,1213,-8252
12403,-435,1178,-8286
12483,-464,1247,-8242
12563,-520,1236,-8222
12643,-563,1223,-8195
12723,-549,1277,-8200
12803,-448,1259,-8202
12883,-427,1217,-8143
12963,-511,1145,-8099
13043,-576,1155,-8138
13123,-538,1228,-8139
13203,-443,1270,-8106
13283,-382,1341,-8124
13362,-396,1357,-8116
13442,-403,1339,-8078
13522,-389,1322,-8085
13602,-434,1314,-8123
13682,-497,1310,-8209
13762,-501,1317,-8224
13842,-477,1320,-8214
13922,-492,1313,-8268
14002,-490,1327,-8234
14082,-464,1308,-8176
14162,-486,1308,-8174
14242,-513,1324,-8181
14322,-508,1315,-8177
14402,-515,1311,-8132
14482,-484,1301,-8136
14562,-460,1270,-8164
14642,-450,1316,-8143
14722,-411,1371,-8116
14802,-401,1277,-8138
14882,-371,1276,-8114
14962,-340,1344,-8085
15042,-334,1367,-8217
15122,-288,1481,-8287
15202,-318,1448,-8320
15282,-315,1176,-8326
15362,-322,871,-8176
15442,-394,609,-8105
15522,-444,546,-8124
15602,-519,679,-8218
15682,-605,750,-8347
15842,-620,1013,-8382
16002,-664,821,-8341
16082,-622,748,-8277
16162,-550,884,-8281
16242,-500,777,-8274
16322,-451,719,-8280
16402,-454,828,-8316
16482,-455,768,-8342
16562,-482,672,-8226
16642,-528,490,-8368
16722,-439,594,-8562
16802,-329,1043,-8542
16882,-269,945,-8498
16962,-181,464,-8418
17042,-140,146,-8424
17122,-130,75,-8537
17202,37,263,-8590
17282,141,-16,-8307
17362,79,-27,-7911
17442,-19,403,-8290
17522,-244,519,-9115
17602,-93,299,-8765
17682,123,-751,-7766
17762,266,-1283,-7607
17842,709,-1275,-8054
17922,1069,-1690,-8245
18002,1024,-1636,-8359
18082,533,-1312,-8396
18162,-216,-1348,-8157
18242,-413,-1289,-8054
18322,76,-1312,-7912
18402,193,-1246,-8025
18482,-221,-1070,-8411
18562,-483,-1056,-8429
18642,-409,-1186,-8198
18722,-290,-1529,-7791
18802,22,-1680,-7627
18882,279,-1691,-7850
18962,279,-1781,-7885
19042,134,-2199,-7705
19122,-309,-2667,-7595
19202,-644,-3005,-7664
19282,-518,-3299,-7807
19361,-289,-3257,-7831
19441,-97,-3382,-7475
19521,-152,-3714,-7130
19601,-391,-3749,-7285
19681,-648,-3424,-8160
19761,-666,-2991,-8568
19841,-503,-3062,-8135
19921,-521,-3351,-7745
20001,-564,-3316,-7631
20081,-617,-3179,-7792
20161,-634,-3047,-7918
20241,-582,-3037,-7900
20321,-455,-3084,-7823
20401,-396,-3054,-7847
20481,-557,-3074,-7798
20561,-674,-3093,-7699
20641,-652,-2896,-7687
20721,-846,-2950,-7724
20801,-1330,-3419,-7391
20881,-1291,-3236,-7176
20961,-743,-2092,-7614
21041,-146,-628,-8381
21121,260,29,-8876
21201,-20,-134,-8740
21281,-543,132,-8309
21361,-890,332,-8475
21441,-846,400,-8484
21521,-570,662,-8164
21601,-441,742,-8305
21681,-432,933,-8371
21761,-420,1167,-8316
21841,-345,1532,-8256
21921,-268,1703,-8254
22001,-224,1475,-8176
22081,-237,1351,-8123
