Time (ms),X,Y,Z
85,-138,1645,-8145
165,-112,1661,-8125
245,-40,1720,-8091
325,2,1739,-8109
405,73,1705,-8134
485,106,1706,-8103
565,139,1741,-8097
645,197,1740,-8103
724,233,1714,-8114
804,471,1591,-8051
884,770,1593,-7971
964,978,1842,-7942
1044,956,2590,-8039
1124,689,2760,-8170
1204,564,1882,-8316
1284,378,1225,-8274
1364,-118,936,-7775
1444,-1152,1109,-7261
1524,-2839,2393,-7286
1604,-3480,4478,-6598
1755,-2720,6338,-4782
1770,-1982,7581,-3039
1844,-1330,8383,-1697
1924,-1043,8449,-533
2004,-978,7900,350
2084,-341,7464,857
2164,502,7424,1674
2244,-171,8796,3583
2395,-1058,10384,4576
2410,-942,10049,3912
2484,-1016,8244,3261
2564,-811,6250,3495
2644,-212,5312,4373
2724,272,6138,4218
2804,635,6950,3420
2884,505,7055,2314
2964,-776,8069,996
3044,-2552,10301,-447
3195,-4388,10625,-966
3210,-4442,8641,-764
3284,-3015,7058,-730
3364,-2290,6312,-484
3444,-1816,6647,-642
3524,-1347,7349,-980
3604,-1000,7694,-959
3684,-855,7667,-625
3764,-2769,9354,1222
3914,-4558,10687,2322
3929,-3667,9080,1469
4004,-2705,7621,1011
4084,-2325,7343,721
4164,-1789,7110,458
4244,-1172,6771,241
4324,-833,7220,-141
4404,-1111,8786,-30
4554,-2068,10132,236
4569,-2480,9871,189
4644,-1682,8537,-149
4724,-755,7317,-588
4804,-306,6893,-562
4884,134,7072,-542
4964,579,7402,-541
5044,1068,8385,-233
5194,1032,9569,969
5209,417,9626,2033
5284,-14,8662,2017
5364,-463,7290,1037
5444,-733,6292,51
5524,-1115,6509,-247
5604,-1592,6952,-916
5684,-1925,7757,-1612
5764,-2440,8260,-2996
5914,-2022,7589,-3478
5929,-444,6653,-3329
6084,-480,3844,-4302
6164,266,2969,-4677
6244,-692,6463,-6150
6393,-2069,9654,-7297
6409,-1960,7411,-7209
6484,-2729,5520,-7228
6564,-3796,3486,-5657
6643,-4644,1359,-3328
6723,-7174,1682,-329
6804,-10907,3429,1394
6954,-13203,4987,1642
6969,-12651,5815,1041
7043,-10472,6373,-366
7123,-7629,8562,-1654
7203,-6380,9276,-2383
7283,-9452,7133,-1264
7363,-13506,5399,334
7443,-13646,4121,1541
7523,-11986,3191,2983
7603,-10709,1759,3494
7683,-9481,-1632,3407
7763,-11043,-1353,2718
7843,-12515,2364,860
7923,-11331,4012,-562
8003,-9353,5258,-1959
8083,-6706,7027,-3669
8163,-6820,8278,-3827
8243,-11545,8879,-1928
8323,-13765,7929,7
8403,-12264,5616,1089
8483,-11060,3385,1705
8563,-9321,1115,2095
8643,-8014,49,2106
8723,-8489,823,1232
8803,-9496,2533,-183
8883,-10188,4765,-1295
8963,-9845,7693,-2677
9043,-8412,8973,-3552
9123,-10127,8519,-2628
9203,-13232,7403,-916
9283,-12835,5550,573
9363,-11822,3482,2199
9443,-11059,1656,3077
9523,-9012,-75,2777
9604,-9023,-507,2390
9683,-10437,1247,988
9763,-10003,3209,-536
9843,-9528,4679,-1281
9923,-8785,6739,-2286
10003,-8021,7717,-2960
10083,-10320,7447,-2070
10163,-13390,6724,-298
10243,-12508,4875,546
10323,-10960,3347,1204
10403,-10614,1516,2006
10483,-9002,210,1894
10563,-8685,839,1619
10643,-9246,2165,919
10723,-9107,3611,124
10803,-9025,5780,-546
10883,-8209,8090,-2575
10963,-7641,8603,-4085
11043,-10117,7673,-2911
11123,-11511,6299,-861
11203,-10060,4463,87
11283,-10161,2711,819
11363,-10199,1143,1639
11443,-9671,556,2073
11523,-10056,1555,1618
11603,-9774,2746,193
11683,-9267,3729,-676
11763,-8945,5229,-1619
11843,-8924,6586,-2794
11923,-10416,6869,-2514
12003,-12000,5762,-1418
12083,-11492,4136,-532
12163,-10709,2848,573
12243,-11291,1693,1635
12323,-10615,523,2156
12403,-9566,233,2288
12483,-9947,1446,1488
12562,-9655,2841,150
12642,-9451,3696,-431
12722,-9603,5111,-729
12802,-9136,7103,-1499
12882,-10729,7119,-1457
12962,-13017,5605,-550
13042,-11821,4046,163
13122,-10478,2764,966
13202,-10894,2123,1229
13283,-10174,1346,1557
13362,-9727,1146,2325
13442,-10740,1796,2333
13522,-10572,3047,1039
13602,-9631,4279,-68
13682,-9175,5169,30
13762,-8766,6558,-497
13842,-10573,6838,-1203
13922,-13713,5184,-414
14002,-13580,3585,415
14082,-10427,2506,631
14162,-7992,1986,783
14242,-6720,1564,820
14322,-6716,1820,444
14402,-8558,2998,-431
14486,-10596,3445,-976
14562,-11247,3286,-1076
14642,-9741,3536,-1192
14722,-7100,3798,-1015
14802,-5894,3673,-668
14882,-6775,4315,-1163
14962,-8672,5237,-2035
15045,-9607,5403,-2535
15122,-10428,5497,-2162
15202,-11852,4926,-1279
15282,-11141,3405,-467
15511,-8444,2149,95
15528,-8634,1388,557
15602,-10170,1798,279
15682,-10878,2330,-175
15762,-10047,3022,-771
15842,-7371,3525,-1254
15922,-5047,3315,-1181
16002,-5996,3601,-1198
16082,-8530,4554,-1504
16165,-10002,5571,-2015
16242,-10962,5336,-1843
16322,-11563,4288,-1276
16402,-10367,3560,-756
16482,-8058,3006,-283
16562,-6939,2501,-88
16642,-6980,2214,387
16722,-8041,1944,755
16802,-9842,1860,815
16893,-11374,2419,1014
16962,-10209,3064,-123
17042,-7592,3211,-1148
17122,-8028,4219,-1806
17202,-9460,5569,-2872
17282,-10086,5831,-2405
17362,-12137,4766,-1188
17442,-13170,3637,-493
17522,-11543,2872,-160
17602,-9802,2011,21
17682,-9280,1952,387
17762,-9020,1608,788
17842,-8958,1721,464
17922,-9835,2704,124
18002,-10269,3222,-247
18082,-9020,3268,-438
18162,-7993,3793,-629
18242,-8736,4858,-1351
18322,-9406,5508,-2404
18402,-9429,5358,-3254
18482,-10404,4708,-2762
18562,-11354,3995,-1644
18642,-9885,3304,-688
18722,-8012,2520,-106
18802,-8130,1753,422
18882,-8970,1566,626
18961,-9746,1761,226
19041,-10458,1929,-63
19121,-10739,2041,-215
19201,-9470,2674,-824
19281,-6880,3200,-1023
19362,-5775,3197,-570
19441,-7556,4605,-1041
19525,-9420,6261,-1952
19601,-10007,6948,-2308
19681,-11554,6320,-1553
19761,-12616,4473,-450
19841,-10721,2912,133
19921,-7753,1825,414
20001,-6720,1481,562
