Time (ms),X,Y,Z
86,5915,-3873,-4965
166,5867,-3890,-4962
246,5904,-3949,-5021
326,5930,-3977,-5014
406,5908,-3990,-4960
486,5897,-3927,-4934
566,5892,-3889,-4956
646,5882,-3906,-5001
726,5886,-3931,-4979
806,5905,-3917,-4960
886,5956,-3859,-5003
966,5980,-3815,-5048
1046,5957,-3803,-5052
1126,5946,-3814,-5020
1206,5975,-3862,-4945
1285,6006,-3936,-4919
1365,6003,-3928,-4940
1446,6019,-3890,-4968
1525,6035,-3838,-4946
1605,6034,-3839,-4936
1685,6016,-3883,-4949
1765,5982,-3860,-4946
1845,5992,-3884,-4953
1925,5997,-3929,-4962
2005,5979,-3876,-4927
2085,5999,-3865,-4868
2165,6009,-3878,-4823
2245,6004,-3892,-4879
2325,6037,-3873,-4931
2405,6052,-3873,-4852
2485,6024,-3950,-4748
2565,6037,-4011,-4724
2645,6060,-4040,-4773
2725,6088,-4062,-4821
2805,6136,-4038,-4801
2885,6140,-4001,-4801
2965,6117,-4018,-4783
3045,6123,-4034,-4741
3125,6144,-4042,-4713
3205,6161,-4020,-4674
3285,6161,-3975,-4690
3365,6186,-3938,-4663
3445,6215,-3946,-4616
3525,6195,-3992,-4663
3605,6168,-4013,-4693
3685,6190,-4007,-4707
3765,6157,-3995,-4705
3845,6125,-3989,-4713
3925,6127,-3995,-4742
4005,6111,-4007,-4781
4085,6112,-4020,-4825
4165,6095,-3976,-4769
4245,6096,-3895,-4752
4325,6088,-3841,-4829
4405,6084,-3789,-4890
4485,6082,-3731,-4970
4565,6073,-3696,-5024
4645,6077,-3662,-5032
4725,6045,-3629,-5087
4820,6021,-3614,-5113
4885,6036,-3581,-5091
4965,5983,-3626,-5009
5045,5950,-3604,-5034
5125,5909,-3593,-5054
5205,5898,-3623,-5055
5285,5944,-3636,-5038
5365,5949,-3643,-5108
5445,5951,-3663,-5217
5525,5969,-3647,-5216
5605,6003,-3614,-5130
5685,6010,-3581,-5073
5765,5997,-3608,-5098
5845,6024,-3664,-5161
5938,5986,-3639,-5156
6005,5994,-3567,-5111
6085,6074,-3491,-5133
6165,6112,-3456,-5134
6258,6087,-3499,-5144
6325,6109,-3502,-5157
6405,6111,-3495,-5111
6485,6052,-3509,-5082
6565,6042,-3515,-5119
6645,6037,-3510,-5162
6738,6052,-3507,-5165
6805,6093,-3532,-5209
6885,6121,-3526,-5255
6965,6100,-3557,-5251
7044,6064,-3572,-5232
7124,6099,-3544,-5180
7204,6132,-3540,-5131
7285,6130,-3564,-5133
7378,6155,-3567,-5117
7444,6175,-3542,-5076
7524,6150,-3514,-5048
7604,6096,-3518,-5044
7685,6079,-3528,-5059
7778,6097,-3524,-5100
7844,6105,-3548,-5102
7924,6116,-3623,-5096
8004,6174,-3611,-5058
8084,6150,-3597,-4997
8164,6096,-3573,-5011
8244,6071,-3536,-5026
8338,6067,-3537,-5025
8404,6074,-3563,-4990
8484,6120,-3575,-4931
8564,6108,-3572,-4964
8644,6085,-3596,-5030
8724,6125,-3667,-5010
8804,6136,-3683,-4974
8884,6141,-3673,-5001
8964,6143,-3660,-5013
9044,6118,-3620,-4984
9124,6081,-3575,-4937
9204,6047,-3597,-4915
9298,6022,-3659,-4939
9364,6053,-3687,-4941
9444,6111,-3667,-4934
9620,6069,-3640,-4973
9684,6024,-3644,-5051
9738,6037,-3647,-5045
9795,6060,-3622,-5017
9888,6063,-3619,-5046
9945,6038,-3643,-5060
10004,6035,-3646,-5023
10084,6051,-3656,-4998
10164,6050,-3686,-5029
