Time (ms),X,Y,Z
85,44,-1040,-8208
165,-11,-1055,-8219
245,-37,-1079,-8241
325,-24,-1022,-8217
405,-44,-970,-8231
485,-78,-1057,-8247
565,-94,-1148,-8228
645,-76,-1251,-8177
724,-51,-1324,-8068
805,-48,-1367,-7983
884,116,-1361,-7986
964,346,-1324,-8013
1044,462,-1375,-8085
1125,576,-1442,-8153
1204,501,-808,-8757
1284,236,-59,-9073
1364,-93,537,-8784
1444,-511,867,-8300
1524,-638,858,-7553
1604,-637,855,-7145
1684,-619,904,-6946
1764,-722,1345,-6973
1844,-1522,2294,-7643
1924,-3474,3360,-8852
2004,-4999,3516,-9194
2084,-4131,3016,-7756
2164,-2360,2783,-6420
2244,-1628,2529,-6326
2324,-1509,2206,-6684
2404,-1675,2584,-7516
2484,-2905,3871,-9083
2564,-3966,4070,-9267
2644,-3880,3309,-7953
2724,-3242,2552,-6606
2804,-2534,2038,-5294
2884,-2290,2071,-5093
2964,-2834,1762,-5349
3044,-4411,1029,-4418
3124,-8049,1251,-3343
3204,-10941,2207,-3158
3284,-9796,2175,-2730
3364,-7871,2075,-2061
3444,-7545,2250,-1783
3524,-7999,2187,-1739
3604,-10372,2226,-1718
3684,-11333,2218,-1581
3764,-9971,1779,-1115
3844,-8670,1446,-633
3924,-7183,1206,-298
4004,-6430,1136,-176
4084,-6600,1232,-238
4164,-8584,1157,-131
4244,-9295,1515,-781
4324,-9498,1810,-1399
4404,-8953,1384,-1338
4484,-6769,1450,-1574
4564,-6493,1831,-1650
4644,-7219,1812,-1412
4724,-9410,1897,-994
4804,-11217,2090,-432
4884,-10950,1753,291
4964,-8998,1357,338
5044,-6525,1284,-49
5204,-5585,1096,-76
5284,-5651,965,-183
5364,-7201,1246,-225
5444,-8906,2112,-1038
5524,-10248,2464,-1682
5604,-9345,1842,-1196
5684,-6542,1681,-970
5764,-5448,2050,-1053
5844,-5459,1948,-1142
5924,-6343,1832,-1278
6004,-6978,1838,-1734
6084,-13778,2362,-444
6164,-17819,2282,1336
6244,-12995,1271,1056
6324,-9166,953,346
6404,-6988,950,100
6484,-7244,1179,-280
6564,-8405,1765,-364
6643,-10732,1926,-403
6723,-10792,1694,-933
6803,-7550,1697,-967
6883,-5816,1912,-752
6963,-6646,2234,-703
7044,-8964,2307,-783
7123,-10019,2461,-931
7203,-10306,2132,-437
7284,-9534,1474,-86
7363,-7339,1082,-162
7443,-6400,831,-87
7523,-7115,791,-128
7603,-8456,968,-258
7683,-9031,1692,-498
7763,-9725,1995,-1157
7843,-8956,1641,-1285
7923,-7001,1629,-824
8003,-6448,1897,-950
8083,-7035,1912,-992
8163,-8598,1773,-866
8243,-8841,2109,-1260
8323,-9346,1797,-812
8403,-9266,1088,-151
8483,-7017,1090,-533
8563,-5824,1056,-575
8643,-5925,921,-399
8723,-8055,1038,-274
8803,-9475,1750,-796
8883,-10283,1638,-929
8963,-9848,997,-675
9043,-6793,1338,-855
9123,-5505,1727,-828
9203,-6109,1789,-901
9283,-8107,1895,-1054
9363,-9235,2183,-1724
9443,-10273,1814,-1310
9523,-10458,1249,-494
9603,-8034,1191,-608
9683,-6537,1078,-491
9766,-6171,974,-393
9843,-7282,917,-280
9923,-9516,1445,-355
10003,-10643,1675,-620
10083,-9495,1218,-966
10163,-7175,1296,-872
10243,-6239,1776,-767
10323,-6844,2017,-1248
10403,-9132,2146,-1413
10483,-10302,2164,-1259
10563,-9866,1473,-692
10643,-8868,1022,-531
