Time (ms),X,Y,Z
85,-533,-2714,-8078
165,-511,-2641,-8109
245,-527,-2644,-8173
325,-560,-2557,-8179
405,-498,-2542,-8114
485,-452,-2552,-8083
565,-431,-2548,-8112
645,-395,-2572,-8116
725,-362,-2609,-8136
805,-329,-2634,-8102
885,-339,-2655,-8104
965,-370,-2647,-8087
1045,-410,-2584,-7960
1125,-232,-2683,-7687
1205,141,-2524,-7184
1285,742,-2031,-6497
1365,1705,-1536,-6117
1445,2983,-828,-6162
1525,4646,-122,-5875
1605,6540,942,-5690
1701,8414,1890,-5826
1764,9536,2205,-5701
1844,9435,2488,-5421
1924,8859,2919,-5068
2004,8761,3462,-4554
2084,9262,3715,-3895
2164,10196,3756,-3324
2244,10793,3655,-2613
2324,10150,3378,-1898
2404,8577,3086,-1470
2484,6973,2720,-1262
2564,6131,2362,-1575
2644,6447,2040,-2396
2724,7500,1779,-3351
2821,8693,1806,-4269
2884,8470,2251,-4412
2964,7931,2535,-4325
3044,7525,2864,-3789
3124,8020,3530,-3009
3204,9053,3900,-2065
3284,9825,4354,-1326
3364,10791,4720,-734
3444,10695,4344,-407
3524,9079,3631,-493
3604,7378,2914,-474
3684,6217,2528,-567
3764,6283,2648,-1174
3844,7115,2729,-2072
3924,8392,2775,-2943
4020,9201,2771,-3375
4084,8638,2650,-3423
4164,7745,2627,-3539
4244,7268,2890,-3636
4324,7635,3209,-3305
4404,9069,3392,-2596
4484,9952,3426,-1813
4564,9996,3280,-953
4644,9394,2913,-159
4724,8080,2408,391
4804,6903,2036,468
4884,5928,1675,171
4964,5422,1490,-462
5044,6953,2001,-1424
5124,10237,3469,-2684
5220,11385,4564,-3715
5284,9349,4126,-4119
5364,5669,3509,-4213
5444,6095,3643,-3771
5524,10265,4141,-2540
5620,13558,4219,-1027
5684,11516,3538,-296
5764,8275,2692,-109
5844,5816,1733,-149
5924,4772,1201,-407
6004,5139,1320,-1142
6084,8384,2229,-2296
6180,11878,3319,-3808
6244,11390,2897,-4615
6324,8746,2153,-4445
6404,6565,2268,-4229
6484,5915,2415,-3702
6564,8524,2979,-2679
6660,11867,3302,-1185
6724,12332,3239,-353
6804,10440,2774,-374
6884,7748,1729,-324
6964,5698,789,-275
7044,4597,334,-654
7124,6697,1351,-1855
7204,11058,2858,-3500
7300,12101,3194,-4318
7364,9291,2984,-4306
7444,6512,3065,-4173
7523,5677,3419,-3906
7604,7431,3652,-3346
7699,11494,3829,-2137
7764,10972,3240,-777
7843,7441,2006,-478
7923,5444,927,-177
8003,4846,706,-215
8083,6061,1576,-890
8163,9967,3595,-1769
8260,12207,5357,-2743
8323,9929,4940,-3726
8403,6827,3866,-4030
8483,5508,3613,-3916
8563,6293,3572,-3633
8643,9648,4005,-2681
8740,12408,4241,-1255
8803,10852,3549,-496
8883,7299,2347,-228
8963,4985,1308,-43
9043,4666,1088,-136
9123,6311,2002,-777
9203,9767,3879,-2032
9300,11387,5139,-3283
9363,9530,4266,-4294
9443,7187,3364,-4765
9523,6316,3481,-4336
9603,7037,3493,-3435
9683,9312,3798,-2409
9763,10808,3940,-1512
9845,9926,3460,-1043
9923,7747,2271,-960
10003,5784,1033,-1042
10083,5363,738,-1233
10163,6149,1129,-1511
10243,11236,3306,-3272
10323,10621,3386,-4246
10403,9378,3415,-3991
10483,8183,2873,-2540
10563,7345,1254,-942
10643,6441,559,-820
10723,6430,1234,-1472
10803,8670,2796,-1528
10883,10125,4301,-1562
10963,9121,4396,-1416
11043,8268,3647,-836
11123,8264,3143,-539
11203,8424,2653,-393
11283,8200,2304,-606
11363,7736,2210,-757
11443,7631,2286,-716
11523,8129,2560,-714
11603,8344,2910,-799
11683,8060,3133,-958
11763,7526,2827,-674
11843,6765,2001,-106
11923,6205,1684,65
12003,5978,2869,-614
12083,5872,5009,-1495
12163,6531,6708,-1530
12243,8197,7944,-735
12323,9229,7777,-143
12403,8703,5300,-353
12483,7220,2241,-442
12563,6186,336,-381
12643,7757,3849,-1237
12723,10220,7686,-1615
12803,10233,8938,-1893
12883,8146,7814,-2194
12963,6157,5676,-1933
13043,5768,3859,-736
13123,4169,3396,284
13203,4132,3428,171
13283,7394,3144,-403
13363,8402,2935,-441
13443,7583,3674,-219
13523,6962,5410,-815
13603,7663,6630,-1990
13682,10227,7293,-2700
13762,11944,7209,-3074
13842,11463,5539,-2625
13922,9420,3223,-1485
14002,7913,1938,-467
14082,7893,1553,366
14162,8490,1638,610
14242,11133,2403,-599
14322,12238,2922,-1864
14402,10157,3361,-2676
14482,8504,4376,-3626
14562,8544,5456,-3753
14642,10373,5635,-3206
14722,12277,4814,-2200
14802,12626,3833,-1321
14882,11542,2624,-561
14962,9756,737,630
15042,8877,1032,923
15122,10819,3154,272
15202,10443,4613,-714
15282,8415,5139,-1499
15362,7974,5633,-2385
15442,9031,5530,-3371
15522,11343,4935,-3967
15602,13711,3907,-3921
15682,13047,2496,-3404
15762,10364,1318,-2454
15891,8515,376,-961
15922,7576,406,85
16002,8316,1760,402
16100,10506,3656,-321
16162,10725,4813,-1520
16242,9375,5130,-2421
16322,9104,5338,-3422
16402,10480,5965,-4213
16482,11584,5548,-4779
16562,13020,4184,-4547
16642,12981,2830,-3602
16722,10094,1405,-2410
16802,7936,340,-829
16882,7852,312,497
16962,9914,1281,748
17059,11815,2929,-330
17122,11104,4124,-1601
17202,9740,4348,-2254
17282,9940,5255,-2636
17362,11846,5574,-3806
17442,12442,4076,-3744
17522,11696,2456,-3125
17602,9879,1418,-2120
17682,8519,610,-686
17762,8586,840,392
17842,10273,1570,375
17922,11453,2610,-589
18002,10910,3411,-1423
18082,9965,3965,-2145
18162,9661,4846,-2773
18242,9186,4710,-3168
18322,10801,3853,-3181
18402,12885,2847,-2769
18482,12081,1951,-2303
18562,10135,1277,-1617
18642,7981,945,-1066
18722,6977,1311,-929
18802,7388,1935,-1258
18882,9134,2618,-2051
18979,10153,3074,-2532
19042,9219,3457,-2483
19122,8519,3883,-2409
19202,8637,3835,-2409
19282,9648,3761,-2768
19362,9786,3495,-3157
19442,9902,3338,-3680
19522,10981,2683,-3744
19602,10749,1533,-2937
19682,9369,1598,-1865
19762,6009,1975,-1600
19841,5349,2543,-1630
19921,6040,3158,-1764
20002,7634,3479,-1894
20099,9180,3296,-1981
20161,9679,2946,-1979
20241,9118,2774,-1798
20321,8395,2933,-1697
20401,7665,3135,-1846
20481,7427,3118,-2198
20561,8042,3068,-2626
20641,9380,2916,-2784
20721,10558,2709,-2891
20801,10698,2450,-2916
20881,10071,2218,-2585
20961,8857,2298,-2064
21041,7334,2634,-1633
21121,6103,2927,-1313
21201,5461,3039,-1052
21281,5528,3108,-1085
21361,6841,3234,-1339
21441,9656,3361,-1739
21539,11327,3309,-2472
21601,10680,2559,-2788
21681,9081,1928,-2500
21761,7251,2299,-2315
21841,6209,2737,-2288
21921,6424,2788,-2438
22001,7702,2658,-2576
22098,11840,2675,-2383
22161,11645,2741,-2089
22241,10265,2738,-1688
22321,7999,2523,-1261
22401,5952,2346,-917
22481,4938,2426,-757
22561,5455,2839,-921
22641,7481,3245,-1194
22721,10313,3605,-1902
22818,11471,3380,-2668
22881,10534,2174,-2675
22961,8851,1697,-2507
23041,6887,2328,-2420
23121,6117,2768,-2363
23201,7055,2921,-2447
23281,9244,2891,-2572
23378,11212,2612,-2587
23441,11899,2533,-2321
23521,11220,2658,-1847
23601,9068,2494,-1225
23681,6630,2205,-704
23761,5271,2266,-495
23841,5705,2739,-483
23921,7777,3164,-700
24018,10007,3440,-1552
24081,10944,3260,-2496
24161,10306,1973,-2723
24241,8599,1364,-2666
24321,7043,2087,-2588
24401,6838,2868,-2697
24481,10406,3011,-2765
24578,12138,2702,-2498
24641,12228,2318,-1869
24721,10853,2106,-1329
24801,8504,2032,-991
24881,6512,2092,-791
24961,5335,2231,-749
