Time (ms),X,Y,Z
84,2186,-644,-7967
164,2014,-813,-7966
244,2104,-849,-7905
324,2121,-866,-7809
404,2394,-993,-7857
484,2478,-780,-7906
564,2295,-31,-7826
724,1937,754,-7874
805,1736,1231,-8025
884,1932,1334,-8684
964,1648,1117,-9230
1044,1020,1289,-9289
1124,344,2087,-9282
1204,-186,2775,-8895
1284,-757,3079,-8714
1364,-1468,2998,-8673
1444,-1423,2799,-8457
1524,-480,2842,-8322
1604,642,3016,-7286
1684,1166,3165,-5001
1764,471,3534,-2782
1844,-1475,5832,-1791
2004,-3698,8773,-1866
2084,-4863,9044,-2141
2164,-4800,7283,-2644
2245,-4215,5479,-3673
2324,-3379,4058,-4982
2404,-2076,4377,-5890
2484,-742,7258,-5358
2564,264,9276,-3137
2644,870,9107,-599
2724,1204,8268,824
2804,1650,7194,1445
2884,2354,6685,1726
2964,2972,6507,2634
3044,4293,6245,4184
3124,5106,5952,5070
3284,4520,5217,4800
3364,4528,4448,3939
3444,5284,3406,3316
3524,6285,3321,2078
3604,7742,3880,801
3684,8183,2663,-367
3764,7159,1498,-1671
3844,5742,2816,-3100
3924,3997,4481,-4484
4004,2193,5035,-5257
4084,2,4944,-6386
4164,-2428,4064,-7373
4244,-4450,3278,-7279
4324,-6050,2741,-6415
4404,-7147,2516,-5747
4564,-7291,2437,-5223
4644,-7401,2221,-4500
4724,-8622,1958,-3958
4804,-9396,1468,-3150
4884,-9074,1017,-2218
4964,-8240,747,-1485
5046,-6921,613,-1075
5123,-5665,465,-1148
5203,-5268,627,-1532
5283,-6269,847,-2446
5363,-9478,1053,-3436
5443,-11196,867,-3556
5523,-9016,635,-3082
5603,-6711,996,-2938
5683,-5610,1258,-3068
5843,-6122,1296,-2897
5923,-8914,1578,-2536
6003,-10728,2145,-2103
6083,-8824,1768,-1440
6163,-6083,1123,-1113
6243,-4925,1198,-1140
6323,-5315,1797,-991
6403,-8204,2878,-1152
6483,-11276,3221,-2132
6563,-10788,2142,-2768
6643,-7887,786,-2143
6723,-5877,982,-1629
6803,-5853,1909,-1893
6883,-7687,2581,-2238
6963,-10395,3680,-2502
7123,-10308,3466,-2300
7203,-7894,2376,-1686
7283,-6879,2056,-767
7363,-7772,2871,-75
7443,-8539,3806,-349
7523,-8572,3687,-1083
7603,-8040,3180,-1835
7683,-7067,2687,-2442
7763,-6272,2371,-2887
7843,-6080,2352,-3317
7923,-6973,2899,-3637
8003,-9071,3657,-3299
8083,-9981,3738,-2296
8163,-7869,2435,-1095
8243,-5442,1674,-389
8403,-4762,2275,-342
8483,-6290,3426,-866
8563,-8966,4970,-2050
8643,-10402,5366,-2764
8723,-9261,4756,-2901
8803,-7184,4617,-2913
8883,-6258,5141,-2595
8963,-5971,5096,-2062
9043,-6623,4254,-1506
9123,-7328,3350,-1119
9203,-6863,3108,-1006
9283,-6313,3063,-1082
9363,-6603,2700,-1015
9443,-7396,2472,-1035
9523,-9388,2954,-1437
9683,-11094,3581,-1966
9763,-9823,3207,-2255
9843,-7505,2887,-2160
9923,-6262,3011,-1893
10003,-5828,3377,-1479
10083,-7760,4059,-1234
10163,-9669,3541,-1069
10243,-7954,2232,-642
10323,-5866,1886,-656
10403,-5481,2237,-740
10483,-6693,2956,-667
10563,-8992,4410,-1257
10642,-10610,4925,-2079
10722,-9444,4064,-2368
10802,-7004,3483,-2076
10882,-5943,2914,-1606
11042,-6687,2408,-824
11122,-8596,2489,95
11202,-9393,3082,80
11282,-8389,3452,-472
11362,-6914,3155,-594
11442,-6226,3162,-198
11522,-7211,3600,421
11602,-9438,3736,753
11682,-10759,3740,413
11762,-9522,3469,75
11842,-7578,3393,131
11922,-6365,4289,251
12002,-5876,5501,469
12082,-6698,6997,1160
12162,-7705,8318,1371
12322,-7226,7073,829
12402,-5868,3785,1003
12482,-5533,2013,1101
12562,-7554,3611,814
12642,-9103,5449,66
12722,-8818,5248,-420
12802,-8215,4180,-186
12882,-7721,3111,-315
12962,-8148,2492,-589
13042,-9106,1743,-333
13122,-9426,2093,-25
13202,-9421,3725,-437
13282,-9188,4230,-407
13362,-8320,3740,102
13442,-7667,3136,553
13602,-7567,1975,1549
13682,-8110,1476,2244
13762,-8679,1798,2022
13842,-8219,2187,1244
13922,-7176,2497,429
14002,-6954,2573,-165
14082,-8294,2805,-442
