Time (ms),X,Y,Z
86,1508,-858,-8436
166,1523,-827,-8485
246,1513,-796,-8499
326,1560,-849,-8489
406,1599,-866,-8467
486,1591,-865,-8422
566,1613,-899,-8393
646,1581,-940,-8388
726,1540,-977,-8420
806,1590,-951,-8435
886,1621,-939,-8399
966,1584,-934,-8382
1046,1576,-863,-8383
1126,1597,-864,-8375
1206,1625,-907,-8354
1286,1612,-918,-8344
1366,1597,-915,-8408
1446,1633,-888,-8429
1526,1659,-867,-8380
1606,1696,-866,-8433
1686,1688,-839,-8466
1766,1641,-776,-8448
1846,1645,-721,-8456
1925,1673,-704,-8435
2005,1728,-679,-8399
2085,1762,-650,-8391
2165,1736,-653,-8378
2245,1715,-647,-8356
2326,1731,-712,-8251
2406,1738,-836,-7878
2486,1870,-894,-7447
2565,2341,-648,-7187
2645,3065,-200,-6776
2725,4230,410,-6293
2805,5636,1199,-5889
2885,6821,1882,-5239
2965,7681,2363,-4399
3045,8159,2400,-3494
3125,8740,2374,-2740
3205,9558,2567,-2533
3285,9530,2640,-2325
3365,8816,2572,-1895
3445,8526,2377,-1618
3525,8630,1962,-1386
3605,8738,1495,-1099
3685,8660,1312,-820
3765,8530,1141,-638
3845,8393,874,-536
3925,8311,911,-651
4005,8359,1091,-850
4085,8424,1285,-909
4165,8523,1556,-1004
4245,8543,1741,-1100
4338,8458,1794,-1068
4405,8411,1715,-1018
4485,8422,1560,-978
4565,8453,1479,-892
4645,8442,1458,-749
4725,8454,1414,-691
4805,8477,1351,-774
4885,8453,1313,-890
4965,8459,1363,-936
5045,8445,1438,-880
5125,8370,1456,-837
5205,8369,1490,-860
5285,8386,1489,-862
5365,8385,1463,-872
5445,8402,1425,-910
5525,8427,1382,-962
5605,8430,1447,-978
5685,8406,1478,-909
5765,8403,1440,-876
5845,8427,1449,-929
5925,8430,1435,-971
6005,8423,1455,-982
6085,8411,1515,-979
6165,8423,1518,-934
6245,8462,1528,-922
6325,8429,1549,-899
6405,8372,1550,-855
6485,8379,1466,-834
6565,8424,1409,-858
6645,8429,1408,-836
6725,8371,1434,-765
6805,8378,1497,-801
6885,8441,1492,-809
6965,8462,1490,-821
7045,8464,1497,-861
7125,8464,1509,-896
7205,8439,1515,-879
7285,8436,1500,-854
7365,8451,1468,-927
7445,8433,1444,-1005
7525,8416,1467,-998
7605,8391,1478,-943
7685,8405,1483,-909
7764,8428,1486,-902
7844,8431,1512,-865
7924,8432,1542,-821
8004,8458,1556,-869
8084,8496,1536,-934
8164,8470,1502,-931
8245,8459,1494,-938
8325,8445,1474,-984
8405,8413,1464,-963
8484,8406,1451,-953
8564,8412,1445,-948
8644,8415,1459,-920
8724,8424,1449,-898
8884,8438,1331,-907
8964,8452,1380,-815
9044,8493,1378,-850
9124,8486,1368,-925
9204,8458,1389,-952
9284,8470,1408,-982
9377,8484,1450,-962
9444,8457,1445,-884
9626,8435,1399,-907
9690,8425,1353,-961
9745,8438,1339,-943
9803,8486,1359,-909
9861,8483,1351,-902
9924,8439,1356,-924
10004,8427,1366,-952
10084,8456,1329,-965
10164,8478,1345,-979
10244,8437,1387,-1012
