Time (ms),X,Y,Z
86,294,1415,-8577
166,308,1548,-8559
246,375,1678,-8474
326,363,1807,-8383
406,280,1919,-8375
486,165,1919,-8482
566,18,1681,-8549
646,-341,-463,-7163
726,140,-2189,-4493
806,2482,-586,-1933
886,6768,2954,234
966,11986,5775,1356
1046,15495,6869,1768
1126,15679,7728,842
1206,13391,6866,-1349
1286,10847,3210,-2320
1367,8004,2812,-339
1446,5107,5026,2720
1526,4218,5042,3523
1605,4187,4486,2856
1685,4105,4175,2929
1765,3349,6719,3380
1846,2031,8342,1935
1925,3074,8475,2850
2005,4064,7564,4310
2085,2664,7199,4281
2165,773,5415,4362
2245,-15,3609,4152
2325,949,2904,4473
2405,4960,6554,4357
2485,8495,8018,4355
2565,8496,4396,4849
2645,8419,2178,5293
2725,7530,221,5765
2805,5740,-1784,4721
2885,5111,-2369,4900
2965,5551,-2249,6461
3045,7234,-1895,5746
3125,9795,-133,3098
3205,10101,1321,2043
3285,7016,5688,6068
3365,5330,5658,6169
3445,6072,888,1084
3525,7972,1840,-2201
3605,10489,4863,-5970
3686,9784,6486,-9538
3765,8371,5501,-10109
3845,7388,3598,-9197
3925,5119,1763,-9181
4005,3233,464,-8747
4098,3899,293,-5488
4165,5396,-580,-817
4245,4164,-3310,-2704
4325,1293,-2825,-8407
4417,-1335,-558,-9641
4485,-2620,-2677,-7228
4565,-2784,-4673,-3917
4645,-2255,-2145,-3176
4725,-2289,-591,-5426
4818,-3672,1492,-5408
4885,-5871,5392,-2761
4965,-5957,9849,1590
5045,5240,5191,6275
5125,12452,2608,4822
5206,7139,6681,-372
5285,2868,3867,-3315
5365,-173,2324,-3390
5458,-2070,2749,-3776
5525,-3023,4467,-5851
5605,-3689,6344,-6596
5685,-3402,6373,-5543
5765,-2500,5013,-4574
5845,-2284,4199,-4310
5925,-2517,4579,-4973
6018,-2898,5602,-6221
6085,-2342,6079,-6880
6165,-1041,4423,-6129
6245,616,2242,-4514
6325,2396,2164,-3019
6405,4329,3707,-1758
6498,7689,5127,-2024
6565,10870,6173,-2941
6645,11524,6943,-2550
6725,10967,6687,-1991
6805,9725,5313,-1586
6885,7686,3246,-1175
6965,6599,1787,-795
7058,7432,1268,-337
7125,9093,1232,39
7205,9526,1718,-152
7285,9412,1979,-250
7365,8616,2299,-633
7445,6442,2447,-858
7525,7376,2533,-1100
7618,9622,2470,-786
7684,10934,2415,-213
7764,10854,2330,191
7844,9946,2094,337
7925,8173,1694,200
8004,6689,1131,68
8085,6373,886,101
8178,7421,874,243
8244,9122,1245,-22
8324,9950,1699,-352
8404,9729,1902,-420
8484,8721,2176,-529
8564,7474,2313,-682
8644,7012,2180,-796
8738,7719,2007,-568
8804,9048,1832,-265
8884,10086,1930,-64
8964,10928,1762,226
9044,10493,1138,319
9124,8642,650,149
9204,6899,499,19
9284,6693,1522,-145
9377,7724,3485,-844
9568,8025,4887,-1777
9634,7766,4644,-2890
9689,7575,4753,-2884
9764,5668,4368,-3010
9844,4155,3634,-2838
9924,4585,4444,-2852
10017,5136,6222,-3327
10084,5196,7700,-3439
10164,5864,7698,-3362
10244,6304,6040,-3071
10324,6125,4371,-2747
10404,5691,3054,-2664
10484,5395,2244,-2113
10577,6564,2080,-1131
10644,9167,2370,-229
10724,11311,3214,-55
10804,11594,3326,333
10884,9838,2763,710
10964,7569,3090,340
11044,6476,3208,108
11124,7119,2888,-145
11217,8896,2508,-691
11284,10331,2271,-971
11364,10821,2058,-521
11444,10537,1728,56
11524,9243,1591,206
11604,7615,1331,113
11684,6625,996,139
11778,6778,908,432
11844,7943,1055,765
11924,9323,1610,545
12004,9778,2074,-52
12084,9367,1812,-220
12164,8536,1759,-359
12244,7601,1981,-611
12324,7294,1923,-498
12417,7850,1708,-258
12484,9109,1419,187
